,tau,number_of_Ase1,number_of_Ase1_norm,velocity,t,event,trace,trace_count,timepoint
0,5.3685,7.5456,195.23,,0.0,1.0,0.0,1.0,0.0
1,,,,,2.449,1.0,0.0,1.0,1.0
2,,,,,4.914,1.0,0.0,1.0,2.0
3,,,,,7.379,1.0,0.0,1.0,3.0
4,315.84,17.913,233.83,70.956,9.828,1.0,0.0,1.0,4.0
5,249.36,32.861,334.71,172.37,12.293,1.0,0.0,1.0,5.0
6,,,,,0.0,1.0,1.0,2.0,0.0
7,,,,,,1.0,1.0,2.0,1.0
8,181.16,4.0018,87.206,,2.48,1.0,1.0,2.0,2.0
9,189.48,8.5116,183.52,122.23,8.533,1.0,1.0,2.0,3.0
10,153.93,5.6432,100.91,170.45,11.029,1.0,1.0,2.0,4.0
11,265.18,12.861,153.69,196.58,13.478,1.0,1.0,2.0,5.0
12,346.13,15.824,187.3,135.54,15.943,1.0,1.0,2.0,6.0
13,277.24,27.532,283.07,141.17,18.377,1.0,1.0,2.0,7.0
14,242.42,22.419,206.43,108.32,20.841,1.0,1.0,2.0,8.0
15,,,,,0.0,2.0,2.0,1.0,0.0
16,304.43,9.0844,128.78,,2.995,2.0,2.0,1.0,1.0
17,5.245,12.717,127.63,123.82,5.46,2.0,2.0,1.0,2.0
18,212.95,2.1157,20.36,46.618,7.894,2.0,2.0,1.0,3.0
19,,,,,10.852,2.0,2.0,1.0,4.0
20,312.51,27.398,188.76,197.0,12.792,2.0,2.0,1.0,5.0
21,151.8,17.809,120.34,87.809,15.302,2.0,2.0,1.0,6.0
22,118.45,28.171,181.18,75.382,17.737,2.0,2.0,1.0,7.0
23,,,,,0.0,2.0,3.0,2.0,0.0
24,5.3722,9.02,185.98,,2.402,2.0,3.0,2.0,1.0
25,5.3005,13.15,182.67,68.493,5.52,2.0,3.0,2.0,2.0
26,89.843,21.792,227.45,114.11,8.47,2.0,3.0,2.0,3.0
27,64.637,26.781,211.84,187.34,10.296,2.0,3.0,2.0,4.0
28,335.31,23.834,164.88,117.68,12.745,2.0,3.0,2.0,5.0
29,159.41,23.206,148.6,97.18,15.21,2.0,3.0,2.0,6.0
30,,,,,0.0,3.0,4.0,1.0,0.0
31,,,,,2.433,3.0,4.0,1.0,1.0
32,84.536,15.202,160.53,,4.882,3.0,4.0,1.0,2.0
33,50.099,21.717,233.71,186.13,7.316,3.0,4.0,1.0,3.0
34,81.899,13.575,151.74,113.45,10.779,3.0,4.0,1.0,4.0
35,323.43,13.327,158.75,176.9,13.244,3.0,4.0,1.0,5.0
36,301.71,18.383,202.1,125.57,15.631,3.0,4.0,1.0,6.0
37,203.6,21.17,209.55,127.99,18.08,3.0,4.0,1.0,7.0
