,tau,number_of_Ase1,number_of_Ase1_norm,velocity,t,event,trace,trace_count,timepoint
0,,,,,0.0,1.0,0.0,1.0,0.0
1,,,,,2.449,1.0,0.0,1.0,1.0
2,86.089,0.96299,60.714,,4.914,1.0,0.0,1.0,2.0
3,5.2945,13.567,600.13,397.06,7.363,1.0,0.0,1.0,3.0
4,70.067,13.253,707.03,247.22,9.813,1.0,0.0,1.0,4.0
5,85.35,20.633,1163.6,188.69,12.262,1.0,0.0,1.0,5.0
6,5.0913,15.192,853.07,189.12,14.727,1.0,0.0,1.0,6.0
7,305.7,18.174,638.28,122.96,17.223,1.0,0.0,1.0,7.0
8,381.03,17.789,779.81,150.05,20.296,1.0,0.0,1.0,8.0
9,142.9,33.621,1058.5,162.2,22.745,1.0,0.0,1.0,9.0
10,139.18,25.194,604.69,99.35,25.21,1.0,0.0,1.0,10.0
11,111.22,33.063,704.72,109.89,27.675,1.0,0.0,1.0,11.0
12,240.56,31.795,723.29,56.105,30.155,1.0,0.0,1.0,12.0
13,140.78,40.028,785.99,135.75,32.604,1.0,0.0,1.0,13.0
14,50.466,29.105,446.84,108.23,35.528,1.0,0.0,1.0,14.0
15,54.653,38.069,576.39,172.95,37.549,1.0,0.0,1.0,15.0
16,119.54,54.166,745.12,110.44,39.999,1.0,0.0,1.0,16.0
17,236.11,37.691,420.59,103.01,42.479,1.0,0.0,1.0,17.0
18,102.77,56.964,689.72,166.4,45.49,1.0,0.0,1.0,18.0
19,86.746,65.224,777.23,112.17,47.955,1.0,0.0,1.0,19.0
20,,,,,0.0,1.0,1.0,2.0,0.0
21,4.9846,3.3438,195.43,,3.057,1.0,1.0,2.0,1.0
22,,,,,5.522,1.0,1.0,2.0,2.0
23,5.0792,17.41,652.25,193.68,7.971,1.0,1.0,2.0,3.0
24,62.453,31.773,634.61,144.78,10.94,1.0,1.0,2.0,4.0
25,75.201,42.815,508.64,222.46,12.885,1.0,1.0,2.0,5.0
26,379.57,24.492,224.57,61.852,15.35,1.0,1.0,2.0,6.0
27,13.508,3.8866,133.65,,0.0,2.0,2.0,1.0,0.0
28,369.4,6.2271,191.1,0.33731,2.449,2.0,2.0,1.0,1.0
29,412.49,20.523,560.38,96.149,6.799,2.0,2.0,1.0,2.0
30,338.63,25.851,536.43,456.93,8.424,2.0,2.0,1.0,3.0
31,131.88,20.737,310.99,198.45,11.249,2.0,2.0,1.0,4.0
32,179.87,38.418,340.27,235.49,13.354,2.0,2.0,1.0,5.0
33,296.0,57.419,579.26,114.64,15.803,2.0,2.0,1.0,6.0
34,270.46,55.382,683.94,167.25,18.252,2.0,2.0,1.0,7.0
