condition,magnitude,whole_experiment_fit,lower,upper
1nM,accumulation_end_fit,21.6,16.735999999999997,28.561249999999998
1nM,accumulation_timescale,6.105,3.525425,11.431749999999997
1nM,velocity_decay_timescale,78540.0,0.9670975000000007,325567.49999999994
1nM,v_s_fit,266.7,250.095,286.6
1nM,shrinking_speed_steady_state,225.9,193.9,254.1999999999999
6nM,accumulation_end_fit,185.5,159.695,246.91
6nM,accumulation_timescale,7.242,5.483325,11.422749999999997
6nM,velocity_decay_timescale,12.07,3.774575,54694.49999999992
6nM,v_s_fit,165.3,146.395,183.5025
6nM,shrinking_speed_steady_state,137.2,122.39250000000001,151.0025
antiparallel,accumulation_end_fit,30.87,23.64725,41.236749999999994
antiparallel,accumulation_timescale,2.397,1.162725,4.875449999999998
antiparallel,velocity_decay_timescale,37.08,21.167,52802.49999999995
antiparallel,v_s_fit,161.8,141.19,176.3025
antiparallel,shrinking_speed_steady_state,117.1,108.1975,125.10249999999999
parallel,accumulation_end_fit,162.5,21.15,173800.0
parallel,accumulation_timescale,57.5,2.81,101400.0
parallel,velocity_decay_timescale,31.83,4.901,74970.0
parallel,v_s_fit,317.2,273.2,365.0
parallel,shrinking_speed_steady_state,206.0,135.2,282.2
