condition,accumulation_end_fit,accumulation_timescale,velocity_decay_timescale,v_s_fit,shrinking_speed_steady_state,picked_ids
1nM,2.350E+01,1.118E+01,1.166E+05,2.675E+02,2.259E+02,"1nM_330,1nM_326,1nM_319,1nM_329,1nM_329,1nM_325,1nM_343,1nM_318,1nM_334,1nM_345,1nM_319,1nM_346,1nM_339,1nM_321,1nM_321,1nM_329,1nM_339,1nM_341,1nM_328,1nM_321,1nM_334,1nM_334,1nM_347,1nM_347,1nM_340,1nM_136,1nM_328,1nM_318,1nM_342,1nM_330,1nM_339,1nM_319,1nM_335,1nM_339"
1nM,2.138E+01,7.694E+00,6.437E+04,2.559E+02,2.136E+02,"1nM_322,1nM_317,1nM_322,1nM_334,1nM_329,1nM_342,1nM_348,1nM_321,1nM_340,1nM_318,1nM_317,1nM_335,1nM_339,1nM_317,1nM_336,1nM_323,1nM_336,1nM_339,1nM_136,1nM_327,1nM_318,1nM_348,1nM_347,1nM_338,1nM_136,1nM_348,1nM_330,1nM_346,1nM_322,1nM_338,1nM_342,1nM_345,1nM_327,1nM_329"
1nM,2.226E+01,5.685E+00,7.003E+04,2.518E+02,2.136E+02,"1nM_330,1nM_321,1nM_318,1nM_332,1nM_348,1nM_314,1nM_337,1nM_136,1nM_337,1nM_320,1nM_332,1nM_325,1nM_321,1nM_337,1nM_345,1nM_326,1nM_343,1nM_326,1nM_136,1nM_328,1nM_315,1nM_317,1nM_335,1nM_318,1nM_329,1nM_338,1nM_336,1nM_346,1nM_328,1nM_321,1nM_337,1nM_342,1nM_345,1nM_320"
1nM,2.135E+01,5.962E+00,7.640E+04,2.736E+02,2.235E+02,"1nM_321,1nM_320,1nM_136,1nM_331,1nM_340,1nM_343,1nM_339,1nM_330,1nM_336,1nM_318,1nM_337,1nM_320,1nM_321,1nM_332,1nM_336,1nM_341,1nM_322,1nM_321,1nM_317,1nM_346,1nM_323,1nM_339,1nM_315,1nM_340,1nM_346,1nM_321,1nM_326,1nM_345,1nM_314,1nM_345,1nM_335,1nM_340,1nM_329,1nM_319"
1nM,2.632E+01,9.090E+00,4.829E+04,2.698E+02,2.243E+02,"1nM_315,1nM_336,1nM_320,1nM_347,1nM_321,1nM_324,1nM_315,1nM_315,1nM_339,1nM_318,1nM_335,1nM_326,1nM_337,1nM_339,1nM_315,1nM_346,1nM_326,1nM_317,1nM_327,1nM_326,1nM_328,1nM_317,1nM_338,1nM_332,1nM_336,1nM_338,1nM_342,1nM_326,1nM_315,1nM_331,1nM_336,1nM_341,1nM_330,1nM_319"
1nM,2.620E+01,8.148E+00,3.703E+01,2.767E+02,1.931E+02,"1nM_336,1nM_332,1nM_315,1nM_320,1nM_324,1nM_319,1nM_317,1nM_322,1nM_315,1nM_340,1nM_348,1nM_333,1nM_332,1nM_320,1nM_333,1nM_330,1nM_347,1nM_338,1nM_332,1nM_318,1nM_335,1nM_339,1nM_318,1nM_338,1nM_331,1nM_319,1nM_333,1nM_334,1nM_323,1nM_322,1nM_326,1nM_333,1nM_136,1nM_314"
1nM,2.464E+01,9.340E+00,2.152E+05,2.697E+02,2.235E+02,"1nM_322,1nM_318,1nM_347,1nM_338,1nM_337,1nM_345,1nM_326,1nM_341,1nM_330,1nM_322,1nM_329,1nM_334,1nM_318,1nM_330,1nM_343,1nM_347,1nM_326,1nM_330,1nM_326,1nM_346,1nM_330,1nM_338,1nM_330,1nM_321,1nM_318,1nM_341,1nM_332,1nM_327,1nM_317,1nM_317,1nM_335,1nM_328,1nM_324,1nM_334"
1nM,2.330E+01,5.612E+00,1.419E+05,2.535E+02,2.063E+02,"1nM_338,1nM_326,1nM_321,1nM_323,1nM_343,1nM_338,1nM_335,1nM_325,1nM_331,1nM_326,1nM_347,1nM_346,1nM_322,1nM_329,1nM_318,1nM_345,1nM_320,1nM_340,1nM_327,1nM_347,1nM_340,1nM_317,1nM_317,1nM_315,1nM_337,1nM_335,1nM_332,1nM_315,1nM_340,1nM_340,1nM_317,1nM_343,1nM_325,1nM_314"
1nM,2.257E+01,7.125E+00,2.507E+05,2.518E+02,2.063E+02,"1nM_322,1nM_317,1nM_322,1nM_136,1nM_334,1nM_136,1nM_330,1nM_330,1nM_338,1nM_332,1nM_335,1nM_330,1nM_318,1nM_334,1nM_345,1nM_325,1nM_343,1nM_329,1nM_328,1nM_329,1nM_345,1nM_340,1nM_329,1nM_327,1nM_322,1nM_318,1nM_330,1nM_322,1nM_327,1nM_317,1nM_340,1nM_346,1nM_335,1nM_314"
1nM,2.306E+01,5.364E+00,6.256E+04,2.634E+02,2.220E+02,"1nM_342,1nM_335,1nM_337,1nM_343,1nM_324,1nM_342,1nM_324,1nM_317,1nM_339,1nM_315,1nM_343,1nM_330,1nM_328,1nM_319,1nM_337,1nM_347,1nM_338,1nM_328,1nM_328,1nM_343,1nM_328,1nM_335,1nM_340,1nM_136,1nM_314,1nM_333,1nM_136,1nM_317,1nM_325,1nM_346,1nM_334,1nM_331,1nM_323,1nM_341"
1nM,1.962E+01,5.709E+00,1.527E+05,2.739E+02,2.436E+02,"1nM_331,1nM_334,1nM_341,1nM_318,1nM_346,1nM_324,1nM_328,1nM_329,1nM_342,1nM_322,1nM_333,1nM_340,1nM_345,1nM_329,1nM_342,1nM_333,1nM_321,1nM_325,1nM_345,1nM_321,1nM_330,1nM_322,1nM_334,1nM_338,1nM_329,1nM_343,1nM_346,1nM_334,1nM_322,1nM_338,1nM_342,1nM_333,1nM_314,1nM_319"
1nM,2.064E+01,4.568E+00,1.887E+05,2.679E+02,2.463E+02,"1nM_321,1nM_340,1nM_318,1nM_341,1nM_345,1nM_329,1nM_338,1nM_336,1nM_317,1nM_346,1nM_336,1nM_341,1nM_331,1nM_331,1nM_326,1nM_346,1nM_334,1nM_337,1nM_333,1nM_332,1nM_322,1nM_323,1nM_334,1nM_322,1nM_314,1nM_319,1nM_136,1nM_325,1nM_340,1nM_331,1nM_333,1nM_320,1nM_347,1nM_332"
1nM,2.534E+01,9.255E+00,3.296E+00,2.884E+02,2.220E+02,"1nM_320,1nM_337,1nM_331,1nM_347,1nM_327,1nM_341,1nM_348,1nM_334,1nM_345,1nM_315,1nM_322,1nM_339,1nM_315,1nM_338,1nM_322,1nM_342,1nM_319,1nM_342,1nM_314,1nM_338,1nM_314,1nM_337,1nM_320,1nM_320,1nM_337,1nM_136,1nM_342,1nM_332,1nM_335,1nM_339,1nM_341,1nM_333,1nM_333,1nM_347"
1nM,2.244E+01,8.389E+00,4.182E+04,2.811E+02,2.259E+02,"1nM_345,1nM_335,1nM_331,1nM_345,1nM_341,1nM_324,1nM_322,1nM_317,1nM_336,1nM_327,1nM_335,1nM_343,1nM_329,1nM_342,1nM_318,1nM_318,1nM_337,1nM_345,1nM_324,1nM_333,1nM_328,1nM_322,1nM_319,1nM_314,1nM_136,1nM_342,1nM_347,1nM_339,1nM_342,1nM_327,1nM_136,1nM_336,1nM_315,1nM_329"
1nM,2.680E+01,7.790E+00,1.462E+05,2.673E+02,2.205E+02,"1nM_314,1nM_330,1nM_333,1nM_322,1nM_328,1nM_338,1nM_337,1nM_317,1nM_317,1nM_318,1nM_338,1nM_345,1nM_346,1nM_341,1nM_348,1nM_343,1nM_335,1nM_325,1nM_323,1nM_336,1nM_318,1nM_334,1nM_345,1nM_333,1nM_331,1nM_322,1nM_338,1nM_328,1nM_331,1nM_346,1nM_324,1nM_327,1nM_320,1nM_319"
1nM,2.680E+01,9.885E+00,2.255E+04,2.798E+02,2.205E+02,"1nM_346,1nM_346,1nM_328,1nM_314,1nM_338,1nM_317,1nM_334,1nM_315,1nM_335,1nM_319,1nM_328,1nM_318,1nM_343,1nM_343,1nM_347,1nM_328,1nM_341,1nM_314,1nM_318,1nM_341,1nM_339,1nM_323,1nM_335,1nM_333,1nM_327,1nM_328,1nM_136,1nM_324,1nM_315,1nM_315,1nM_322,1nM_319,1nM_323,1nM_322"
1nM,2.657E+01,9.637E+00,5.617E+01,2.605E+02,2.072E+02,"1nM_318,1nM_328,1nM_324,1nM_342,1nM_330,1nM_335,1nM_318,1nM_322,1nM_320,1nM_342,1nM_327,1nM_328,1nM_334,1nM_346,1nM_327,1nM_330,1nM_326,1nM_343,1nM_322,1nM_324,1nM_338,1nM_321,1nM_136,1nM_331,1nM_347,1nM_348,1nM_319,1nM_318,1nM_340,1nM_314,1nM_343,1nM_338,1nM_325,1nM_346"
1nM,1.943E+01,4.362E+00,7.025E-02,2.751E+02,2.340E+02,"1nM_338,1nM_332,1nM_336,1nM_345,1nM_321,1nM_325,1nM_324,1nM_324,1nM_337,1nM_332,1nM_319,1nM_333,1nM_322,1nM_334,1nM_332,1nM_323,1nM_332,1nM_327,1nM_320,1nM_327,1nM_319,1nM_320,1nM_321,1nM_324,1nM_337,1nM_347,1nM_343,1nM_321,1nM_348,1nM_317,1nM_338,1nM_329,1nM_319,1nM_342"
1nM,1.965E+01,5.027E+00,1.716E+05,2.796E+02,2.436E+02,"1nM_330,1nM_136,1nM_326,1nM_347,1nM_317,1nM_333,1nM_322,1nM_136,1nM_347,1nM_322,1nM_329,1nM_346,1nM_324,1nM_320,1nM_328,1nM_337,1nM_136,1nM_342,1nM_341,1nM_323,1nM_333,1nM_315,1nM_334,1nM_315,1nM_330,1nM_324,1nM_314,1nM_347,1nM_318,1nM_315,1nM_325,1nM_334,1nM_337,1nM_329"
1nM,2.297E+01,6.587E+00,7.090E+04,2.713E+02,2.220E+02,"1nM_338,1nM_338,1nM_336,1nM_314,1nM_332,1nM_339,1nM_345,1nM_342,1nM_333,1nM_315,1nM_321,1nM_314,1nM_339,1nM_324,1nM_345,1nM_341,1nM_347,1nM_322,1nM_326,1nM_136,1nM_335,1nM_136,1nM_342,1nM_341,1nM_336,1nM_325,1nM_347,1nM_347,1nM_314,1nM_343,1nM_325,1nM_319,1nM_346,1nM_340"
1nM,2.278E+01,6.292E+00,1.449E+05,2.597E+02,2.136E+02,"1nM_342,1nM_347,1nM_327,1nM_325,1nM_321,1nM_318,1nM_343,1nM_346,1nM_337,1nM_335,1nM_333,1nM_318,1nM_335,1nM_325,1nM_333,1nM_317,1nM_319,1nM_338,1nM_315,1nM_337,1nM_332,1nM_319,1nM_346,1nM_315,1nM_315,1nM_336,1nM_319,1nM_326,1nM_324,1nM_327,1nM_347,1nM_339,1nM_329,1nM_339"
