condition,accumulation_end_fit,accumulation_timescale,velocity_decay_timescale,v_s_fit,shrinking_speed_steady_state,shrinking_speed_steady_state_ci
1nM,3.972E+01,2.759E+01,1.512E+05,3.203E+02,2.309E+02,0.000E+00
1nM,4.658E+02,2.884E+02,1.368E+04,3.527E+02,,
1nM,5.602E+04,1.262E+05,1.303E+05,2.761E+02,2.325E+02,0.000E+00
1nM,4.582E+01,2.456E+01,8.918E+04,2.514E+02,1.553E+02,0.000E+00
1nM,5.654E+05,6.400E+05,1.908E+01,4.070E+02,2.754E+02,0.000E+00
1nM,1.835E+01,1.238E+01,3.465E+00,2.763E+02,2.354E+02,0.000E+00
6nM,1.720E+02,2.285E+01,7.564E+00,1.935E+02,1.091E+02,0.000E+00
6nM,2.792E+02,2.361E+01,3.805E+00,2.143E+02,1.458E+02,0.000E+00
6nM,4.387E+02,6.360E+01,5.769E+00,1.382E+02,9.585E+01,0.000E+00
6nM,1.761E+02,6.233E+00,7.088E+04,2.819E+02,1.832E+02,0.000E+00
6nM,1.561E+06,1.237E+05,9.939E-02,1.775E+02,1.878E+02,0.000E+00
6nM,1.181E+02,8.230E+00,1.381E+00,3.137E+02,1.109E+02,0.000E+00
6nM,1.686E+02,9.254E+00,7.219E+04,1.971E+02,1.097E+02,0.000E+00
6nM,1.453E+02,1.602E+01,-4.862E+00,1.271E+02,1.410E+02,0.000E+00
6nM,2.530E+06,3.379E+05,8.921E+04,1.457E+02,1.315E+02,0.000E+00
6nM,5.997E+06,2.226E+05,8.167E-01,1.798E+02,1.545E+02,0.000E+00
6nM,1.280E+07,8.956E+05,1.011E-01,7.381E+01,1.190E+02,0.000E+00
antiparallel,3.569E+01,7.396E-01,8.256E+00,1.402E+02,1.057E+02,0.000E+00
antiparallel,1.229E+02,1.918E+01,6.046E-01,1.604E+02,1.348E+02,0.000E+00
antiparallel,5.128E+01,3.985E+00,5.362E+00,1.419E+02,1.162E+02,0.000E+00
antiparallel,9.353E+01,1.588E+01,2.584E+01,1.953E+02,1.086E+02,0.000E+00
antiparallel,3.378E+05,3.359E+05,4.104E+04,2.798E+02,1.518E+02,0.000E+00
antiparallel,5.961E+01,3.619E+01,1.752E+01,2.846E+02,1.199E+02,0.000E+00
antiparallel,8.292E+05,1.398E+06,3.094E+00,1.058E+02,1.185E+02,0.000E+00
antiparallel,2.828E+01,1.179E+01,-3.552E+05,8.885E+01,9.850E+01,0.000E+00
antiparallel,6.190E+01,2.264E-03,3.704E+04,1.209E+02,1.493E+02,0.000E+00
antiparallel,8.016E+00,1.168E+01,2.869E+01,2.001E+02,9.769E+01,0.000E+00
antiparallel,-2.287E+00,1.006E-01,9.242E+04,1.872E+02,1.955E+02,0.000E+00
antiparallel,2.775E+01,1.786E+00,3.017E+01,1.221E+02,9.831E+01,0.000E+00
antiparallel,4.895E+01,4.914E+00,8.564E+04,1.659E+02,1.146E+02,0.000E+00
antiparallel,2.508E+01,6.709E+00,5.342E+00,1.156E+02,8.929E+01,0.000E+00
antiparallel,7.133E+04,3.422E+05,6.998E+04,1.288E+02,1.271E+02,0.000E+00
antiparallel,2.368E+01,6.768E+01,2.301E-01,8.205E+01,1.148E+02,0.000E+00
antiparallel,2.716E+01,5.770E+00,3.196E+01,1.533E+02,9.905E+01,0.000E+00
antiparallel,-5.095E+01,3.836E+00,5.169E+04,1.166E+02,8.789E+01,0.000E+00
antiparallel,3.141E+01,1.256E+00,2.276E+05,1.628E+02,1.297E+02,0.000E+00
antiparallel,2.978E+01,1.359E+01,7.227E+04,3.484E+02,2.099E+02,0.000E+00
antiparallel,4.695E+01,8.150E+00,1.035E+01,2.531E+02,8.500E+01,0.000E+00
antiparallel,5.365E+01,1.180E+00,2.920E+05,1.359E+02,8.993E+01,0.000E+00
antiparallel,7.196E+01,4.357E+00,7.069E-02,1.012E+02,8.375E+01,0.000E+00
antiparallel,4.505E+01,4.818E+00,8.449E+04,1.404E+02,1.010E+02,0.000E+00
antiparallel,5.477E+01,3.372E+00,1.044E+01,1.145E+02,1.196E+02,0.000E+00
antiparallel,1.874E+02,7.895E+01,2.539E+00,2.548E+02,1.220E+02,0.000E+00
antiparallel,5.806E+01,1.524E+00,1.656E+01,1.018E+02,1.346E+02,0.000E+00
antiparallel,6.227E+01,1.867E+01,1.563E+01,1.384E+02,6.156E+01,0.000E+00
antiparallel,3.525E+01,1.135E+01,2.251E+00,2.293E+02,1.178E+02,0.000E+00
parallel,1.624E+01,2.503E+00,2.957E+04,3.202E+02,2.822E+02,0.000E+00
parallel,3.611E+05,1.620E+05,3.679E+00,3.779E+02,2.005E+02,0.000E+00
parallel,8.036E+01,1.165E+01,1.121E+05,1.823E+02,1.352E+02,0.000E+00
