time (s),numAse1 (1),event id
0,7.5456,1
2.449,NaN,1
4.914,NaN,1
7.379,NaN,1
9.828,17.913,1
12.293,32.861,1
0,NaN,1
NaN,NaN,1
2.48,4.0018,1
8.533,8.5116,1
11.029,5.6432,1
13.478,12.861,1
15.943,15.824,1
18.377,27.532,1
20.841,22.419,1
0,NaN,2
2.995,9.0844,2
5.46,12.717,2
7.894,2.1157,2
10.852,NaN,2
12.792,27.398,2
15.302,17.809,2
17.737,28.171,2
0,NaN,2
2.402,9.02,2
5.52,13.15,2
8.47,21.792,2
10.296,26.781,2
12.745,23.834,2
15.21,23.206,2
0,NaN,3
2.433,NaN,3
4.882,15.202,3
7.316,21.717,3
10.779,13.575,3
13.244,13.327,3
15.631,18.383,3
18.08,21.17,3
20.514,30.825,3
22.963,22.42,3
25.428,19.025,3
27.846,13.724,3
NaN,NaN,3
30.295,12.644,3
36.426,2.9137,3
38.844,7.5383,3
41.324,5.3535,3
43.82,22.392,3
46.254,17.684,3
49.306,17.188,3
51.121,30.68,3
53.57,28.151,3
56.035,22.038,3
58.469,22.431,3
0,2.7111,3
2.69,5.6054,3
4.914,3.2677,3
7.363,26.868,3
9.812,26.597,3
12.231,21.677,3
14.68,24.998,3
17.082,32.588,3
20.2,40.768,3
23.15,34.41,3
0,3.2282,3
2.449,2.4752,3
4.883,11.76,3
7.332,22.754,3
9.765,18.254,3
12.408,5.6435,3
14.679,29.381,3
17.129,20.068,3
19.562,20.799,3
22.62,32.439,3
25.054,NaN,3
27.518,31.047,3
29.936,30.095,3
0,NaN,4
2.433,NaN,4
4.867,7.0508,4
7.316,21.538,4
9.781,19.813,4
12.839,6.2444,4
15.288,13.288,4
17.721,33.513,4
20.171,37.121,4
22.604,32.324,4
25.053,33.252,4
27.503,30.715,4
29.952,31.863,4
32.88,38.927,4
34.835,38.358,4
37.799,69.234,4
40.279,67.402,4
42.744,40.044,4
45.193,21.897,4
0,NaN,4
2.17,8.7179,4
4.62,15.618,4
7.069,23.173,4
9.549,40.236,4
11.998,46.793,4
14.978,31.544,4
17.427,NaN,4
0,NaN,5
3.301,NaN,5
4.898,8.4205,5
9.032,4.0098,5
12.321,12.121,5
13.915,7.6554,5
16.348,0.085207,5
18.829,9.0567,5
21.247,15.741,5
23.696,18.084,5
0,NaN,5
2.48,2.666,5
4.929,3.8969,5
7.379,5.3778,5
9.828,1.7406,5
12.823,5.0914,5
15.9,11.909,5
17.768,13.435,5
20.217,11.47,5
22.667,13.867,5
25.116,16.633,5
27.581,23.265,5
30.014,25.327,5
NaN,NaN,5
32.463,23.967,5
38.594,26.837,5
41.075,17.069,5
43.524,44.926,5
45.973,49.194,5
48.422,35.088,5
50.871,27.559,5
54.07,NaN,5
55.754,NaN,5
58.219,21.779,5
60.637,9.3941,5
63.617,5.6141,5
66.05,14.254,5
68.546,25.769,5
70.995,22.532,5
73.476,32.071,5
75.956,37.921,5
78.421,31.303,5
0,NaN,6
2.449,NaN,6
4.882,NaN,6
7.378,NaN,6
9.859,3.4413,6
12.807,7.1498,6
15.256,9.6132,6
17.841,NaN,6
20.155,6.898,6
22.635,0.31261,6
25.084,6.90E-11,6
27.518,3.10E-14,6
29.936,2.6253,6
32.37,8.4223,6
34.819,10.207,6
37.861,12.219,6
40.326,24.72,6
43.531,21.266,6
45.177,11.912,6
47.627,18.06,6
50.06,5.6193,6
52.494,30.491,6
0,NaN,6
2.449,1.5383,6
4.914,8.3556,6
7.924,13.109,6
10.389,8.7543,6
12.87,4.9087,6
15.303,7.9889,6
NaN,NaN,6
0,NaN,6
6.099,6.4587,6
8.595,8.8221,6
11.06,13.819,6
13.494,13.793,6
15.943,21.967,6
18.376,12.775,6
20.857,11.486,6
23.306,15.559,6
25.755,15.392,6
0,NaN,7
2.464,9.8927,7
4.929,25.297,7
7.363,35.173,7
9.828,30.546,7
12.308,13.106,7
14.773,31.543,7
17.222,28.952,7
19.64,36.739,7
22.791,19.409,7
26.192,15.011,7
28.672,14.283,7
31.122,23.068,7
33.618,21.158,7
36.411,NaN,7
0,NaN,8
2.917,4.6682,8
5.382,3.3564,8
8.157,7.5203,8
10.249,6.7471,8
12.729,11.036,8
15.163,10.17,8
17.643,5.1084,8
20.093,8.0788,8
NaN,NaN,8
22.526,9.3047,8
28.626,10.867,8
31.059,5.849,8
33.509,16.315,8
35.958,20.272,8
38.407,20.26,8
41.727,11.657,8
43.321,14.086,8
45.867,12.693,8
48.251,8.393,8
50.684,8.4343,8
53.664,6.7617,8
56.129,5.7891,8
0,NaN,8
2.449,NaN,8
5.312,2.4446,8
7.363,2.7365,8
9.844,4.9384,8
12.308,1.9645,8
15.74,5.7397,8
