time (s),numAse1 (1),event id
0,NaN,1
2.449,NaN,1
4.914,0.96299,1
7.363,13.567,1
9.813,13.253,1
12.262,20.633,1
14.727,15.192,1
17.223,18.174,1
20.296,17.789,1
22.745,33.621,1
25.21,25.194,1
27.675,33.063,1
30.155,31.795,1
32.604,40.028,1
35.528,29.105,1
37.549,38.069,1
39.999,54.166,1
42.479,37.691,1
45.49,56.964,1
47.955,65.224,1
0,NaN,1
3.057,3.3438,1
5.522,NaN,1
7.971,17.41,1
10.94,31.773,1
12.885,42.815,1
15.35,24.492,1
0,3.8866,2
2.449,6.2271,2
6.799,20.523,2
8.424,25.851,2
11.249,20.737,2
13.354,38.418,2
15.803,57.419,2
18.252,55.382,2
20.702,42.022,2
23.151,61.042,2
NaN,NaN,2
25.647,53.812,2
32.261,93.646,2
34.71,79.681,2
37.175,67.641,2
39.64,68.447,2
42.089,82.1,2
44.538,79.471,2
0,NaN,2
2.495,2.7486,2
4.899,4.98,2
7.379,10.449,2
9.844,12.695,2
12.309,16.357,2
15.304,35.807,2
17.785,30.945,2
20.234,23.292,2
22.714,25.746,2
25.163,35.942,2
27.644,36.397,2
30.093,43.788,2
33.415,37.492,2
34.991,29.984,2
37.441,34.435,2
40.42,42.923,2
42.916,60.447,2
45.381,78.991,2
47.83,70.309,2
0,4.89E-10,3
2.418,NaN,3
4.867,10.376,3
7.301,20.829,3
9.765,39.134,3
12.23,49.261,3
14.679,33.621,3
17.144,43.659,3
20.077,77.263,3
0,NaN,3
2.449,NaN,3
4.914,5.7375,3
7.941,15.93,3
10.421,34.783,3
12.886,42.764,3
15.351,58.461,3
17.831,51.008,3
20.312,46.694,3
22.761,44.268,3
25.194,53.739,3
27.675,73.36,3
30.707,64.292,3
33.967,NaN,3
0,3.4464,4
3.223,NaN,4
4.898,NaN,4
7.8,31.162,4
10.249,21.98,4
12.682,25.264,4
15.178,43.915,4
17.628,77.647,4
20.077,122.76,4
22.526,124.91,4
0,3.6799,4
2.465,12.81,4
4.914,45.543,4
7.379,35.516,4
9.828,49.255,4
12.278,124.33,4
14.727,95.02,4
0,2.79,5
2.496,NaN,5
5.008,7.0168,5
7.535,14.147,5
10.483,29.847,5
13.011,33.416,5
15.491,58.378,5
18.018,49.498,5
20.514,43.425,5
23.026,44.666,5
25.538,33.273,5
28.065,57.35,5
30.592,47.192,5
33.104,41.124,5
36.036,48.847,5
38.564,87.544,5
41.075,83.513,5
43.587,110.1,5
46.083,106.55,5
48.626,39.186,5
51.122,73.598,5
53.664,69.744,5
56.223,32.936,5
0,0.95641,6
2.449,NaN,6
4.898,12.549,6
7.534,41.687,6
9.796,54.726,6
12.792,41.365,6
15.256,24.938,6
17.737,64.489,6
0,1.1659,6
3.011,0.92562,6
5.569,21.931,6
8.191,46.654,6
10.67,55.221,6
13.571,51.441,6
15.694,42.315,6
18.961,37.167,6
20.764,54.913,6
23.26,79.068,6
25.802,46.116,6
0,NaN,7
2.449,8.1469,7
5.133,7.2287,7
7.363,13.232,7
10.359,18.539,7
12.777,16.411,7
15.257,22.06,7
17.706,27.713,7
20.155,33.017,7
22.605,30.705,7
25.054,30.873,7
27.503,47.755,7
30.663,36.383,7
32.401,14.061,7
0,NaN,7
2.434,NaN,7
4.899,1.918,7
7.286,12.367,7
9.75,20.497,7
13.281,21.967,7
15.632,24.163,7
18.081,17.953,7
20.483,15.371,7
22.917,43.307,7
0,5.0321,7
2.511,12.44,7
5.038,18.263,7
7.55,23.965,7
11.123,27.41,7
13.65,30.843,7
16.161,47.555,7
18.704,56.384,7
21.231,64.016,7
0,NaN,8
2.642,NaN,8
5.101,8.0425,8
8.342,16.073,8
10.14,13.355,8
12.683,11.3,8
15.725,18.219,8
0,NaN,9
2.433,16.017,9
4.882,45.491,9
7.332,51.658,9
9.781,51.326,9
12.246,77.553,9
14.859,74.998,9
17.969,97.084,9
20.124,106.4,9
22.573,167.17,9
0,NaN,9
2.465,NaN,9
4.914,27.394,9
7.379,52.656,9
9.828,79.489,9
12.277,87.989,9
14.711,119.4,9
17.69,86.344,9
0,NaN,9
2.434,NaN,9
4.852,4.1786,9
7.286,NaN,9
0,NaN,9
2.45,9.4369,9
4.899,14.477,9
7.348,36.259,9
9.828,59.116,9
12.293,61.138,9
14.758,77.272,9
17.66,105.5,9
0,5.8402,10
2.449,NaN,10
4.898,14.206,10
7.316,45.57,10
9.765,81.918,10
12.215,111.9,10
15.195,133.96,10
17.16,158.13,10
0,NaN,10
2.481,2.56E-11,10
4.93,5.9817,10
7.878,8.0078,10
10.296,25.291,10
12.754,35.869,10
15.21,50.516,10
17.691,56.703,10
20.14,59.224,10
22.589,68.724,10
25.023,73.007,10
0,NaN,11
2.449,10.419,11
5.444,21.384,11
7.909,32.214,11
10.327,55.355,11
12.776,63.07,11
