time (s),num Ase1 divded by equilibrium density (nm),equilibrium density (1/nm),event id
0,195.23,0.03865,1
2.449,NaN,0.098177,1
4.914,NaN,0.093569,1
7.379,NaN,0.08127,1
9.828,233.83,0.076608,1
12.293,334.71,0.098177,1
0,NaN,0.052291,1
NaN,NaN,0.00026575,1
2.48,87.206,0.045889,1
8.533,183.52,0.046379,1
11.029,100.91,0.055923,1
13.478,153.69,0.083681,1
15.943,187.3,0.084483,1
18.377,283.07,0.097262,1
20.841,206.43,0.1086,1
0,NaN,0.070545,2
2.995,128.78,0.070545,2
5.46,127.63,0.099635,2
7.894,20.36,0.10391,2
10.852,NaN,0.14627,2
12.792,188.76,0.14515,2
15.302,120.34,0.14799,2
17.737,181.18,0.15549,2
0,NaN,0.0485,2
2.402,185.98,0.0485,2
5.52,182.67,0.071985,2
8.47,227.45,0.095811,2
10.296,211.84,0.12642,2
12.745,164.88,0.14455,2
15.21,148.6,0.15616,2
0,NaN,0.092423,3
2.433,NaN,0.015622,3
4.882,160.53,0.094699,3
7.316,233.71,0.092922,3
10.779,151.74,0.089461,3
13.244,158.75,0.083954,3
15.631,202.1,0.09096,3
18.08,209.55,0.10103,3
20.514,320.84,0.096076,3
22.963,240.65,0.093164,3
25.428,216.27,0.087969,3
27.846,170.15,0.080658,3
NaN,NaN,0.002842,3
30.295,179.74,0.070345,3
36.426,36.359,0.080138,3
38.844,93.823,0.080346,3
41.324,61.672,0.086806,3
43.82,239.07,0.093661,3
46.254,188.41,0.093861,3
49.306,180.75,0.095091,3
51.121,339.81,0.090286,3
53.57,304.14,0.092559,3
56.035,223.05,0.098805,3
58.469,210.43,0.1066,3
0,145.34,0.018653,3
2.69,137.2,0.040854,3
4.914,33.737,0.096856,3
7.363,266.26,0.10091,3
9.812,245.05,0.10854,3
12.231,190.51,0.11378,3
14.68,221.61,0.1128,3
17.082,291.24,0.11189,3
20.2,409.57,0.099539,3
23.15,322.81,0.1066,3
0,41.046,0.078648,3
2.449,30.725,0.080561,3
4.883,141.31,0.083224,3
7.332,241.21,0.094336,3
9.765,212.11,0.08606,3
12.408,55.484,0.10171,3
14.679,318.51,0.092243,3
17.129,246.07,0.081555,3
19.562,284.13,0.073203,3
22.62,470.65,0.068923,3
25.054,NaN,0.074168,3
27.518,403.77,0.076891,3
29.936,357.53,0.084173,3
0,NaN,0.079522,4
2.433,NaN,0.079522,4
4.867,86.484,0.081527,4
7.316,228.17,0.094393,4
9.781,199.22,0.09945,4
12.839,66.701,0.093618,4
15.288,138.72,0.095787,4
17.721,332.25,0.10087,4
20.171,365.49,0.10156,4
22.604,340.05,0.095056,4
25.053,351.02,0.094728,4
27.503,271.05,0.11332,4
29.952,273.49,0.1165,4
32.88,304.33,0.12791,4
34.835,279.64,0.13717,4
37.799,532.78,0.12995,4
40.279,548.1,0.12297,4
42.744,393.49,0.10177,4
45.193,240.98,0.090865,4
0,NaN,0.074892,4
2.17,112.26,0.077656,4
4.62,257.36,0.060687,4
7.069,340.97,0.067963,4
9.549,444.56,0.090508,4
11.998,508.88,0.091953,4
14.978,368.11,0.085694,4
17.427,NaN,0.084831,4
0,NaN,0.074799,5
3.301,NaN,0.067254,5
4.898,132.87,0.063376,5
9.032,61.506,0.065193,5
12.321,227.33,0.053319,5
13.915,142.66,0.053661,5
16.348,1.2436,0.068514,5
18.829,142.27,0.063656,5
21.247,223.6,0.070398,5
23.696,260,0.069554,5
0,NaN,0.043518,5
2.48,82.738,0.032222,5
4.929,92.258,0.042239,5
7.379,155.46,0.034594,5
9.828,46.625,0.037331,5
12.823,111.21,0.045782,5
15.9,297.07,0.040089,5
17.768,254.68,0.052755,5
20.217,226.11,0.050726,5
22.667,262.58,0.052812,5
25.116,287.22,0.05791,5
27.581,394.98,0.0589,5
30.014,396.13,0.063935,5
NaN,NaN,0.001223,5
32.463,390.46,0.061381,5
38.594,411.67,0.065192,5
41.075,203.79,0.083757,5
43.524,509.86,0.088114,5
45.973,588.88,0.083538,5
48.422,525.76,0.066738,5
50.871,462.11,0.059637,5
54.07,NaN,0.061168,5
55.754,NaN,0.060372,5
58.219,266.91,0.081597,5
60.637,112.06,0.083828,5
63.617,64.419,0.08715,5
66.05,149.94,0.095066,5
68.546,316.48,0.081423,5
70.995,298.68,0.07544,5
73.476,446.72,0.071793,5
75.956,566.67,0.066919,5
78.421,484.25,0.064641,5
0,NaN,0.033654,6
2.449,NaN,0.04994,6
4.882,NaN,0.025036,6
7.378,NaN,0.005025,6
9.859,46.92,0.073343,6
12.807,99.486,0.071868,6
15.256,161.56,0.059501,6
17.841,NaN,0.06417,6
20.155,100.12,0.068897,6
22.635,4.6058,0.067873,6
25.084,1.08E-09,0.063665,6
27.518,4.69E-13,0.066161,6
29.936,38.98,0.06735,6
32.37,129.53,0.065021,6
34.819,158.34,0.064464,6
37.861,189.86,0.064356,6
40.326,332.46,0.074356,6
43.531,269.44,0.078928,6
45.177,149.69,0.079579,6
47.627,273.53,0.066026,6
50.06,85.107,0.066026,6
52.494,425.71,0.071625,6
0,NaN,0.047607,6
2.449,30.162,0.051,6
4.914,170.6,0.048979,6
7.924,192.99,0.067924,6
10.389,142.53,0.061422,6
12.87,87.935,0.055822,6
15.303,93.524,0.085421,6
NaN,NaN,0.0016314,6
0,NaN,0.049024,6
6.099,154.66,0.041761,6
8.595,179.13,0.049251,6
11.06,270.75,0.05104,6
13.494,270.24,0.05104,6
15.943,408.88,0.053726,6
18.376,190.51,0.067057,6
20.857,187.7,0.061196,6
23.306,244.41,0.063659,6
25.755,209.57,0.073446,6
0,NaN,0.073526,7
2.464,157.54,0.062796,7
4.929,337.22,0.075017,7
7.363,441.62,0.079646,7
9.828,354.22,0.086236,7
12.308,143.16,0.091547,7
14.773,340.56,0.092621,7
17.222,304.7,0.095019,7
19.64,335.48,0.10951,7
22.791,202.18,0.096,7
26.192,231.64,0.064801,7
28.672,203.61,0.070149,7
31.122,327.94,0.070343,7
33.618,310.49,0.068145,7
36.411,NaN,0.065015,7
0,NaN,0.045103,8
2.917,104.17,0.044813,8
5.382,72.623,0.046216,8
8.157,164.81,0.045629,8
10.249,151.33,0.044586,8
12.729,212.67,0.051891,8
15.163,189.52,0.05366,8
17.643,90.105,0.056694,8
20.093,130.91,0.061713,8
NaN,NaN,0.0052402,8
22.526,134.58,0.069136,8
28.626,115.25,0.094293,8
31.059,56.047,0.10436,8
33.509,143.69,0.11355,8
35.958,175.32,0.11563,8
38.407,187.21,0.10822,8
41.727,116.57,0.1,8
43.321,153.71,0.091638,8
45.867,135.5,0.093678,8
48.251,89.595,0.093678,8
50.684,87.322,0.096588,8
53.664,70.739,0.095586,8
56.129,59.368,0.097511,8
0,NaN,0.040654,8
2.449,NaN,0.039254,8
5.312,62.275,0.039254,8
7.363,69.711,0.039254,8
9.844,113.67,0.043445,8
12.308,43.308,0.04536,8
15.74,129.79,0.044222,8
18.205,152,0.047421,8
20.654,115.49,0.057795,8
23.104,151.9,0.055784,8
25.553,199.47,0.066761,8
28.002,68.517,0.061465,8
30.436,1.68E-09,0.075002,8
33.182,125.13,0.094196,8
35.334,NaN,0.08187,8
37.799,145.93,0.070218,8
40.778,73.985,0.079839,8
0,NaN,0.10053,9
2.45,127.87,0.093637,9
4.883,85.025,0.11181,9
7.332,161.61,0.10866,9
9.797,303.3,0.082969,9
12.839,155.48,0.063039,9
15.257,197.73,0.073452,9
17.706,322.42,0.072174,9
20.156,385.17,0.066539,9
23.012,284.31,0.063694,9
25.07,120.16,0.075928,9
27.534,203.66,0.074768,9
0,NaN,0.097287,9
2.418,138.14,0.05005,9
4.867,94.931,0.05005,9
7.316,155.48,0.070892,9
9.766,240.64,0.08427,9
12.262,74.89,0.10043,9
15.272,116.6,0.11519,9
17.706,246.1,0.088567,9
20.155,199.53,0.076528,9
22.955,52.603,0.075375,9
25.054,246.05,0.078907,9
27.55,338.92,0.080302,9
30.03,302.59,0.088601,9
32.479,191.45,0.1025,9
34.928,135.04,0.10265,9
37.362,194.96,0.096427,9
40.342,249.61,0.091179,9
42.775,262.28,0.086106,9
45.225,97.436,0.087461,9
47.689,NaN,0.093977,9
