time (s),num Ase1 divded by equilibrium density (nm),equilibrium density (1/nm),event id
0,NaN,0.017322,1
2.449,NaN,0.016743,1
4.914,60.714,0.015861,1
7.363,600.13,0.022607,1
9.813,707.03,0.018744,1
12.262,1163.6,0.017733,1
14.727,853.07,0.017808,1
17.223,638.28,0.028473,1
20.296,779.81,0.022812,1
22.745,1058.5,0.031763,1
25.21,604.69,0.041663,1
27.675,704.72,0.046916,1
30.155,723.29,0.043958,1
32.604,785.99,0.050926,1
35.528,446.84,0.065135,1
37.549,576.39,0.066048,1
39.999,745.12,0.072694,1
42.479,420.59,0.089613,1
45.49,689.72,0.082591,1
47.955,777.23,0.083918,1
0,NaN,0.018153,1
3.057,195.43,0.01711,1
5.522,NaN,0.026692,1
7.971,652.25,0.026692,1
10.94,634.61,0.050066,1
12.885,508.64,0.084176,1
15.35,224.57,0.10906,1
0,133.65,0.02908,2
2.449,191.1,0.032585,2
6.799,560.38,0.036624,2
8.424,536.43,0.048191,2
11.249,310.99,0.066679,2
13.354,340.27,0.11291,2
15.803,579.26,0.099126,2
18.252,683.94,0.080974,2
20.702,544,0.077247,2
23.151,608.16,0.10037,2
NaN,NaN,0.0030912,2
25.647,495.66,0.10857,2
32.261,807.4,0.11598,2
34.71,933.82,0.085328,2
37.175,857.85,0.07885,2
39.64,696.79,0.098232,2
42.089,726.71,0.11298,2
44.538,635.66,0.12502,2
0,NaN,0.084873,2
2.495,237.52,0.011572,2
4.899,129.54,0.038444,2
7.379,206.9,0.050502,2
9.844,255.43,0.0497,2
12.309,313.7,0.052142,2
15.304,568.37,0.062999,2
17.785,435.63,0.071035,2
20.234,274.43,0.084873,2
22.714,266.7,0.096533,2
25.163,370.31,0.097058,2
27.644,436.09,0.083462,2
30.093,614.1,0.071305,2
33.415,568.05,0.066001,2
34.991,452.83,0.066214,2
37.441,505.95,0.06806,2
40.42,606.5,0.070772,2
42.916,773.79,0.078118,2
45.381,803.64,0.098292,2
47.83,564.76,0.12449,2
0,1.02E-08,0.048141,3
2.418,NaN,0.081519,3
4.867,182.77,0.056772,3
7.301,372.94,0.05585,3
9.765,492.42,0.079472,3
12.23,547,0.090055,3
14.679,455.01,0.073891,3
17.144,570.16,0.076573,3
20.077,839.02,0.092087,3
0,NaN,0.043763,3
2.449,NaN,0.042163,3
4.914,228.22,0.02514,3
7.941,348.14,0.045756,3
10.421,642.19,0.054164,3
12.886,619.19,0.069065,3
15.351,768.72,0.07605,3
17.831,732.95,0.069592,3
20.312,934.27,0.049979,3
22.761,800.43,0.055305,3
