time (s),tau (nm),event id
0,5.3685,1
2.449,NaN,1
4.914,NaN,1
7.379,NaN,1
9.828,315.84,1
12.293,249.36,1
0,NaN,1
NaN,NaN,1
2.48,181.16,1
8.533,189.48,1
11.029,153.93,1
13.478,265.18,1
15.943,346.13,1
18.377,277.24,1
20.841,242.42,1
0,NaN,2
2.995,304.43,2
5.46,5.245,2
7.894,212.95,2
10.852,NaN,2
12.792,312.51,2
15.302,151.8,2
17.737,118.45,2
0,NaN,2
2.402,5.3722,2
5.52,5.3005,2
8.47,89.843,2
10.296,64.637,2
12.745,335.31,2
15.21,159.41,2
0,NaN,3
2.433,NaN,3
4.882,84.536,3
7.316,50.099,3
10.779,81.899,3
13.244,323.43,3
15.631,301.71,3
18.08,203.6,3
20.514,76.823,3
22.963,103.99,3
25.428,154.62,3
27.846,243.24,3
NaN,NaN,3
30.295,271.93,3
36.426,202.15,3
38.844,245.78,3
41.324,468.52,3
43.82,417.4,3
46.254,986.66,3
49.306,848.53,3
51.121,470.13,3
53.57,370.4,3
56.035,259.84,3
58.469,269.68,3
0,4.9939,3
2.69,168.83,3
4.914,395.01,3
7.363,126.55,3
9.812,145.93,3
12.231,316.74,3
14.68,187.71,3
17.082,278.2,3
20.2,428.45,3
23.15,186.12,3
0,130.1,3
2.449,89.476,3
4.883,319.93,3
7.332,156.29,3
9.765,181.76,3
12.408,239.13,3
14.679,46.188,3
17.129,70.724,3
19.562,252.65,3
22.62,772.57,3
25.054,NaN,3
27.518,339.13,3
29.936,177.89,3
0,NaN,4
2.433,NaN,4
4.867,558.06,4
7.316,119.07,4
9.781,80.374,4
12.839,329.26,4
15.288,254.34,4
17.721,162.34,4
20.171,307.75,4
22.604,156.23,4
25.053,117.16,4
27.503,134.53,4
29.952,103.19,4
32.88,158.47,4
34.835,192.39,4
37.799,236.59,4
40.279,198.82,4
42.744,208.94,4
45.193,309.1,4
0,NaN,4
2.17,56.244,4
4.62,181.13,4
7.069,381.81,4
9.549,170.39,4
11.998,152.09,4
14.978,171.89,4
17.427,NaN,4
0,NaN,5
3.301,NaN,5
4.898,97.042,5
9.032,87.942,5
12.321,11.321,5
13.915,794.45,5
16.348,5.0502,5
18.829,449.17,5
21.247,344.63,5
23.696,188.46,5
0,NaN,5
2.48,5.0486,5
4.929,169.28,5
7.379,274.68,5
9.828,1000,5
12.823,170.21,5
15.9,279.27,5
17.768,118.83,5
20.217,423.64,5
22.667,99.265,5
25.116,134.83,5
27.581,124.84,5
30.014,105.15,5
NaN,NaN,5
32.463,108.52,5
38.594,232.63,5
41.075,646.98,5
43.524,197.65,5
45.973,130.9,5
48.422,176.27,5
50.871,300.01,5
54.07,NaN,5
55.754,NaN,5
58.219,103.07,5
60.637,277.61,5
63.617,627.04,5
66.05,255.84,5
68.546,528.82,5
70.995,563.17,5
73.476,332.2,5
75.956,178.01,5
78.421,281.79,5
0,NaN,6
2.449,NaN,6
4.882,NaN,6
7.378,NaN,6
9.859,103.64,6
12.807,127.25,6
15.256,4.8548,6
17.841,NaN,6
20.155,4.9696,6
22.635,800.44,6
25.084,929.27,6
27.518,977.05,6
29.936,85.376,6
32.37,134.51,6
34.819,118.54,6
37.861,386.18,6
40.326,257.19,6
43.531,247.55,6
45.177,324.98,6
47.627,211.43,6
50.06,1000,6
52.494,5.3915,6
0,NaN,6
2.449,229.36,6
4.914,219.36,6
7.924,158.85,6
10.389,232.48,6
12.87,278.33,6
15.303,412.26,6
NaN,NaN,6
0,NaN,6
6.099,213.04,6
8.595,308.67,6
11.06,983,6
13.494,326.02,6
15.943,187.1,6
18.376,100.99,6
20.857,126.93,6
23.306,234.57,6
25.755,502.55,6
0,NaN,7
2.464,230.6,7
4.929,136.12,7
7.363,5.2983,7
9.828,34.907,7
12.308,217.74,7
14.773,49.856,7
17.222,121.03,7
19.64,167.26,7
22.791,567.43,7
26.192,151.92,7
28.672,239.26,7
31.122,77.116,7
33.618,47.167,7
36.411,NaN,7
0,NaN,8
2.917,106.04,8
5.382,429.24,8
8.157,401.77,8
10.249,259.07,8
12.729,160.69,8
15.163,207.27,8
17.643,406.81,8
20.093,168.82,8
NaN,NaN,8
22.526,303.47,8
28.626,476.18,8
31.059,1000,8
33.509,357.65,8
35.958,302.02,8
38.407,270.74,8
41.727,372.22,8
43.321,154.05,8
45.867,124.68,8
48.251,121.6,8
50.684,175.19,8
53.664,228.88,8
56.129,156.15,8
0,NaN,8
2.449,NaN,8
5.312,297.97,8
7.363,259.99,8
9.844,344.9,8
12.308,900.27,8
15.74,1000,8
18.205,334.57,8
20.654,691.17,8
23.104,787.47,8
25.553,227.69,8
28.002,5.0169,8
30.436,999.61,8
33.182,315.07,8
35.334,NaN,8
37.799,274.59,8
40.778,272.62,8
0,NaN,9
2.45,58.039,9
4.883,295.32,9
7.332,202.51,9
9.797,250.01,9
12.839,317.04,9
15.257,121.16,9
17.706,199.07,9
20.156,176.22,9
23.012,288.23,9
25.07,771.13,9
27.534,645.55,9
0,NaN,9
2.418,26.416,9
4.867,515.33,9
7.316,207.71,9
9.766,85.463,9
12.262,159.5,9
15.272,782.26,9
17.706,310.35,9
20.155,243.37,9
22.955,354.61,9
25.054,327.53,9
27.55,192.5,9
30.03,168.06,9
32.479,187.24,9
34.928,345.36,9
37.362,231.05,9
40.342,195.04,9
42.775,157.49,9
45.225,732.52,9
47.689,NaN,9
0,329.31,10
2.449,308.93,10
4.914,291.3,10
8.02,206.37,10
11.13,5.0172,10
12.807,294.93,10
15.272,423.01,10
17.721,882,10
20.17,328.46,10
22.604,814.77,10
25.038,1000,10
27.487,310.28,10
NaN,NaN,10
29.92,526.78,10
36.55,1000,10
0,NaN,10
2.79,153.82,10
5.078,924.77,10
7.542,1000,10
10.007,312.73,10
12.488,382.38,10
