time (s),tau (nm),event id
0,NaN,1
2.449,NaN,1
4.914,86.089,1
7.363,5.2945,1
9.813,70.067,1
12.262,85.35,1
14.727,5.0913,1
17.223,305.7,1
20.296,381.03,1
22.745,142.9,1
25.21,139.18,1
27.675,111.22,1
30.155,240.56,1
32.604,140.78,1
35.528,50.466,1
37.549,54.653,1
39.999,119.54,1
42.479,236.11,1
45.49,102.77,1
47.955,86.746,1
0,NaN,1
3.057,4.9846,1
5.522,NaN,1
7.971,5.0792,1
10.94,62.453,1
12.885,75.201,1
15.35,379.57,1
0,13.508,2
2.449,369.4,2
6.799,412.49,2
8.424,338.63,2
11.249,131.88,2
13.354,179.87,2
15.803,296,2
18.252,270.46,2
20.702,170.45,2
23.151,177.38,2
NaN,NaN,2
25.647,179.47,2
32.261,211.57,2
34.71,246.59,2
37.175,138.11,2
39.64,183.74,2
42.089,185.05,2
44.538,194.59,2
0,NaN,2
2.495,5.1468,2
4.899,13.712,2
7.379,147.19,2
9.844,321.48,2
12.309,218.25,2
15.304,206.1,2
17.785,57.692,2
20.234,130.65,2
22.714,173.92,2
25.163,347.14,2
27.644,338.01,2
30.093,357.84,2
33.415,261.2,2
34.991,287.26,2
37.441,401.84,2
40.42,383.15,2
42.916,231.91,2
45.381,173.47,2
47.83,131.57,2
0,81.925,3
2.418,NaN,3
4.867,35.124,3
7.301,146.32,3
9.765,41.68,3
12.23,121.63,3
14.679,24.129,3
17.144,140.8,3
20.077,260.34,3
0,NaN,3
2.449,NaN,3
4.914,161.12,3
7.941,171.84,3
10.421,91.663,3
12.886,46.881,3
15.351,59.431,3
17.831,174.16,3
20.312,5.3466,3
22.761,93.539,3
25.194,203.95,3
27.675,76.688,3
30.707,59.83,3
33.967,NaN,3
0,4.9675,4
3.223,NaN,4
4.898,NaN,4
7.8,237.57,4
10.249,39.932,4
12.682,5.2756,4
15.178,5.3377,4
17.628,118.93,4
20.077,180.09,4
22.526,202.39,4
0,102.64,4
2.465,5.3296,4
4.914,91.126,4
7.379,191.21,4
9.828,300.66,4
12.278,233.88,4
14.727,178.3,4
0,39.178,5
2.496,NaN,5
5.008,5.3396,5
7.535,5.3437,5
10.483,15.689,5
13.011,118.96,5
15.491,255.11,5
18.018,103.41,5
20.514,53.116,5
23.026,226.63,5
25.538,167.35,5
28.065,287.37,5
30.592,216.44,5
33.104,245.06,5
36.036,159.35,5
38.564,262.78,5
41.075,207.61,5
43.587,231.52,5
46.083,365.12,5
48.626,271.51,5
51.122,344.38,5
53.664,333.89,5
56.223,371.65,5
0,273.09,6
2.449,NaN,6
4.898,5.2869,6
7.534,235.4,6
9.796,100.65,6
12.792,49.042,6
15.256,109.56,6
17.737,128.13,6
0,64.618,6
3.011,5.0235,6
5.569,101.58,6
8.191,180.46,6
10.67,162.38,6
13.571,84.887,6
15.694,88.786,6
18.961,5.3278,6
20.764,253.21,6
23.26,154.63,6
25.802,85.65,6
0,NaN,7
2.449,5.3848,7
5.133,5.329,7
7.363,5.3522,7
10.359,5.3314,7
12.777,5.3286,7
15.257,162.23,7
17.706,5.2931,7
20.155,5.3158,7
22.605,86.62,7
25.054,149.82,7
27.503,178.61,7
30.663,28.44,7
32.401,247.45,7
0,NaN,7
2.434,NaN,7
4.899,93.14,7
7.286,5.2703,7
9.75,5.0775,7
13.281,5.0414,7
15.632,5.3289,7
18.081,5.0572,7
20.483,189.92,7
22.917,180.18,7
0,153.71,7
2.511,43.642,7
5.038,66.428,7
7.55,65.916,7
11.123,103.72,7
13.65,115.04,7
16.161,180.49,7
18.704,163.31,7
21.231,221.37,7
0,NaN,8
2.642,NaN,8
5.101,5.2556,8
8.342,95.074,8
10.14,220.09,8
12.683,71.811,8
15.725,52.806,8
0,NaN,9
2.433,102.37,9
4.882,23.97,9
7.332,125,9
9.781,177.55,9
12.246,166.87,9
14.859,214.12,9
17.969,205.5,9
20.124,265.33,9
22.573,178.16,9
0,NaN,9
2.465,NaN,9
4.914,268.09,9
7.379,291.86,9
9.828,277.6,9
12.277,279.89,9
14.711,192.78,9
17.69,261.19,9
0,NaN,9
2.434,NaN,9
4.852,575.54,9
7.286,NaN,9
0,NaN,9
2.45,115.52,9
4.899,192.16,9
7.348,337.39,9
9.828,159.57,9
12.293,192.53,9
14.758,276.52,9
17.66,239.32,9
0,224.63,10
2.449,NaN,10
4.898,127.12,10
7.316,154.75,10
9.765,363.25,10
12.215,252.93,10
15.195,214.69,10
17.16,243.59,10
0,NaN,10
2.481,6.5823,10
4.93,234.08,10
7.878,646.9,10
10.296,225.17,10
12.754,154.8,10
15.21,188.85,10
17.691,228.89,10
20.14,240.79,10
22.589,307.15,10
25.023,364.09,10
0,NaN,11
2.449,4.8712,11
5.444,95.925,11
7.909,459.14,11
10.327,380.81,11
12.776,379.4,11
