time (s),velocity (nm/s),event id
0,NaN,1
2.449,NaN,1
4.914,NaN,1
7.379,NaN,1
9.828,70.956,1
12.293,172.37,1
0,NaN,1
NaN,NaN,1
2.48,NaN,1
8.533,122.23,1
11.029,170.45,1
13.478,196.58,1
15.943,135.54,1
18.377,141.17,1
20.841,108.32,1
0,NaN,2
2.995,NaN,2
5.46,123.82,2
7.894,46.618,2
10.852,NaN,2
12.792,197,2
15.302,87.809,2
17.737,75.382,2
0,NaN,2
2.402,NaN,2
5.52,68.493,2
8.47,114.11,2
10.296,187.34,2
12.745,117.68,2
15.21,97.18,2
0,NaN,3
2.433,NaN,3
4.882,NaN,3
7.316,186.13,3
10.779,113.45,3
13.244,176.9,3
15.631,125.57,3
18.08,127.99,3
20.514,128.43,3
22.963,52.498,3
25.428,80.492,3
27.846,113.83,3
NaN,NaN,3
30.295,160.71,3
36.426,128.66,3
38.844,110.25,3
41.324,71.012,3
43.82,145.22,3
46.254,79.314,3
49.306,66.052,3
51.121,159.33,3
53.57,109.09,3
56.035,114.21,3
58.469,85.958,3
0,NaN,3
2.69,54.475,3
4.914,159.09,3
7.363,160.34,3
9.812,90.414,3
12.231,48.417,3
14.68,73.172,3
17.082,45.877,3
20.2,66.138,3
23.15,203.5,3
0,NaN,3
2.449,35.786,3
4.883,161.33,3
7.332,170.53,3
9.765,110.29,3
12.408,189.59,3
14.679,171.08,3
17.129,49.145,3
19.562,75.114,3
22.62,45.495,3
25.054,NaN,3
27.518,210.52,3
29.936,144.27,3
0,NaN,4
2.433,NaN,4
4.867,NaN,4
7.316,184.6,4
9.781,184.77,4
12.839,139.03,4
15.288,223.02,4
17.721,176.92,4
20.171,108.07,4
22.604,182.61,4
25.053,129.51,4
27.503,123.02,4
29.952,137.51,4
32.88,83.768,4
34.835,102.23,4
37.799,83.872,4
40.279,77.302,4
42.744,25.377,4
45.193,74.19,4
0,NaN,4
2.17,NaN,4
4.62,213.47,4
7.069,228.96,4
9.549,220.14,4
11.998,146.54,4
14.978,134.08,4
17.427,NaN,4
0,NaN,5
3.301,NaN,5
4.898,NaN,5
9.032,220.85,5
12.321,186.42,5
13.915,264.48,5
