omega,cooperativity,kon,v_s,D
0.7,1,0.001,0.3,0.09
0.71,1,0.001,0.3,0.09
0.72,1,0.001,0.3,0.09
0.73,1,0.001,0.3,0.09
0.74,1,0.001,0.3,0.09
0.75,1,0.001,0.3,0.09
0.76,1,0.001,0.3,0.09
0.77,1,0.001,0.3,0.09
0.78,1,0.001,0.3,0.09
0.79,1,0.001,0.3,0.09
0.8,1,0.001,0.3,0.09
0.81,1,0.001,0.3,0.09
0.82,1,0.001,0.3,0.09
0.83,1,0.001,0.3,0.09
0.84,1,0.001,0.3,0.09
0.85,1,0.001,0.3,0.09
0.86,1,0.001,0.3,0.09
0.87,1,0.001,0.3,0.09
0.88,1,0.001,0.3,0.09
0.89,1,0.001,0.3,0.09
0.9,1,0.001,0.3,0.09
0.91,1,0.001,0.3,0.09
0.92,1,0.001,0.3,0.09
0.93,1,0.001,0.3,0.09
0.94,1,0.001,0.3,0.09
0.95,1,0.001,0.3,0.09
0.96,1,0.001,0.3,0.09
0.97,1,0.001,0.3,0.09
0.98,1,0.001,0.3,0.09
0.99,1,0.001,0.3,0.09
1.0,1,0.001,0.3,0.09
0.7,2,0.001,0.3,0.09
0.71,2,0.001,0.3,0.09
0.72,2,0.001,0.3,0.09
0.73,2,0.001,0.3,0.09
0.74,2,0.001,0.3,0.09
0.75,2,0.001,0.3,0.09
0.76,2,0.001,0.3,0.09
0.77,2,0.001,0.3,0.09
0.78,2,0.001,0.3,0.09
0.79,2,0.001,0.3,0.09
0.8,2,0.001,0.3,0.09
0.81,2,0.001,0.3,0.09
0.82,2,0.001,0.3,0.09
0.83,2,0.001,0.3,0.09
0.84,2,0.001,0.3,0.09
0.85,2,0.001,0.3,0.09
0.86,2,0.001,0.3,0.09
0.87,2,0.001,0.3,0.09
0.88,2,0.001,0.3,0.09
0.89,2,0.001,0.3,0.09
0.9,2,0.001,0.3,0.09
0.91,2,0.001,0.3,0.09
0.92,2,0.001,0.3,0.09
0.93,2,0.001,0.3,0.09
0.94,2,0.001,0.3,0.09
0.95,2,0.001,0.3,0.09
0.96,2,0.001,0.3,0.09
0.97,2,0.001,0.3,0.09
0.98,2,0.001,0.3,0.09
0.99,2,0.001,0.3,0.09
1.0,2,0.001,0.3,0.09
0.7,3,0.001,0.3,0.09
0.71,3,0.001,0.3,0.09
0.72,3,0.001,0.3,0.09
0.73,3,0.001,0.3,0.09
0.74,3,0.001,0.3,0.09
0.75,3,0.001,0.3,0.09
0.76,3,0.001,0.3,0.09
0.77,3,0.001,0.3,0.09
0.78,3,0.001,0.3,0.09
0.79,3,0.001,0.3,0.09
0.8,3,0.001,0.3,0.09
0.81,3,0.001,0.3,0.09
0.82,3,0.001,0.3,0.09
0.83,3,0.001,0.3,0.09
0.84,3,0.001,0.3,0.09
0.85,3,0.001,0.3,0.09
0.86,3,0.001,0.3,0.09
0.87,3,0.001,0.3,0.09
0.88,3,0.001,0.3,0.09
0.89,3,0.001,0.3,0.09
0.9,3,0.001,0.3,0.09
0.91,3,0.001,0.3,0.09
0.92,3,0.001,0.3,0.09
0.93,3,0.001,0.3,0.09
0.94,3,0.001,0.3,0.09
0.95,3,0.001,0.3,0.09
0.96,3,0.001,0.3,0.09
0.97,3,0.001,0.3,0.09
0.98,3,0.001,0.3,0.09
0.99,3,0.001,0.3,0.09
1.0,3,0.001,0.3,0.09
0.7,4,0.001,0.3,0.09
0.71,4,0.001,0.3,0.09
0.72,4,0.001,0.3,0.09
0.73,4,0.001,0.3,0.09
0.74,4,0.001,0.3,0.09
0.75,4,0.001,0.3,0.09
0.76,4,0.001,0.3,0.09
0.77,4,0.001,0.3,0.09
0.78,4,0.001,0.3,0.09
0.79,4,0.001,0.3,0.09
0.8,4,0.001,0.3,0.09
0.81,4,0.001,0.3,0.09
0.82,4,0.001,0.3,0.09
0.83,4,0.001,0.3,0.09
0.84,4,0.001,0.3,0.09
0.85,4,0.001,0.3,0.09
0.86,4,0.001,0.3,0.09
0.87,4,0.001,0.3,0.09
0.88,4,0.001,0.3,0.09
0.89,4,0.001,0.3,0.09
0.9,4,0.001,0.3,0.09
0.91,4,0.001,0.3,0.09
0.92,4,0.001,0.3,0.09
0.93,4,0.001,0.3,0.09
0.94,4,0.001,0.3,0.09
0.95,4,0.001,0.3,0.09
0.96,4,0.001,0.3,0.09
0.97,4,0.001,0.3,0.09
0.98,4,0.001,0.3,0.09
0.99,4,0.001,0.3,0.09
1.0,4,0.001,0.3,0.09
