omega,cooperativity
0.7,1
0.71,1
0.72,1
0.73,1
0.74,1
0.75,1
0.76,1
0.77,1
0.78,1
0.79,1
0.8,1
0.81,1
0.82,1
0.83,1
0.84,1
0.85,1
0.86,1
0.87,1
0.88,1
0.89,1
0.9,1
0.91,1
0.92,1
0.93,1
0.94,1
0.95,1
0.96,1
0.97,1
0.98,1
0.99,1
1.0,1
0.7,2
0.71,2
0.72,2
0.73,2
0.74,2
0.75,2
0.76,2
0.77,2
0.78,2
0.79,2
0.8,2
0.81,2
0.82,2
0.83,2
0.84,2
0.85,2
0.86,2
0.87,2
0.88,2
0.89,2
0.9,2
0.91,2
0.92,2
0.93,2
0.94,2
0.95,2
0.96,2
0.97,2
0.98,2
0.99,2
1.0,2
0.7,4
0.71,4
0.72,4
0.73,4
0.74,4
0.75,4
0.76,4
0.77,4
0.78,4
0.79,4
0.8,4
0.81,4
0.82,4
0.83,4
0.84,4
0.85,4
0.86,4
0.87,4
0.88,4
0.89,4
0.9,4
0.91,4
0.92,4
0.93,4
0.94,4
0.95,4
0.96,4
0.97,4
0.98,4
0.99,4
1.0,4
0.7,6
0.71,6
0.72,6
0.73,6
0.74,6
0.75,6
0.76,6
0.77,6
0.78,6
0.79,6
0.8,6
0.81,6
0.82,6
0.83,6
0.84,6
0.85,6
0.86,6
0.87,6
0.88,6
0.89,6
0.9,6
0.91,6
0.92,6
0.93,6
0.94,6
0.95,6
0.96,6
0.97,6
0.98,6
0.99,6
1.0,6
0.7,8
0.71,8
0.72,8
0.73,8
0.74,8
0.75,8
0.76,8
0.77,8
0.78,8
0.79,8
0.8,8
0.81,8
0.82,8
0.83,8
0.84,8
0.85,8
0.86,8
0.87,8
0.88,8
0.89,8
0.9,8
0.91,8
0.92,8
0.93,8
0.94,8
0.95,8
0.96,8
0.97,8
0.98,8
0.99,8
1.0,8
