omega,cooperativity
0.7,1
0.71,1
0.72,1
0.73,1
0.74,1
0.75,1
0.76,1
0.77,1
0.78,1
0.79,1
0.8,1
0.81,1
0.82,1
0.83,1
0.84,1
0.85,1
0.86,1
0.87,1
0.88,1
0.89,1
0.9,1
0.91,1
0.92,1
0.93,1
0.94,1
0.95,1
0.96,1
0.97,1
0.98,1
0.99,1
1.0,1
0.7,2
0.71,2
0.72,2
0.73,2
0.74,2
0.75,2
0.76,2
0.77,2
0.78,2
0.79,2
0.8,2
0.81,2
0.82,2
0.83,2
0.84,2
0.85,2
0.86,2
0.87,2
0.88,2
0.89,2
0.9,2
0.91,2
0.92,2
0.93,2
0.94,2
0.95,2
0.96,2
0.97,2
0.98,2
0.99,2
1.0,2
0.7,3
0.71,3
0.72,3
0.73,3
0.74,3
0.75,3
0.76,3
0.77,3
0.78,3
0.79,3
0.8,3
0.81,3
0.82,3
0.83,3
0.84,3
0.85,3
0.86,3
0.87,3
0.88,3
0.89,3
0.9,3
0.91,3
0.92,3
0.93,3
0.94,3
0.95,3
0.96,3
0.97,3
0.98,3
0.99,3
1.0,3
0.7,4
0.71,4
0.72,4
0.73,4
0.74,4
0.75,4
0.76,4
0.77,4
0.78,4
0.79,4
0.8,4
0.81,4
0.82,4
0.83,4
0.84,4
0.85,4
0.86,4
0.87,4
0.88,4
0.89,4
0.9,4
0.91,4
0.92,4
0.93,4
0.94,4
0.95,4
0.96,4
0.97,4
0.98,4
0.99,4
1.0,4
0.7,5
0.71,5
0.72,5
0.73,5
0.74,5
0.75,5
0.76,5
0.77,5
0.78,5
0.79,5
0.8,5
0.81,5
0.82,5
0.83,5
0.84,5
0.85,5
0.86,5
0.87,5
0.88,5
0.89,5
0.9,5
0.91,5
0.92,5
0.93,5
0.94,5
0.95,5
0.96,5
0.97,5
0.98,5
0.99,5
1.0,5
0.7,6
0.71,6
0.72,6
0.73,6
0.74,6
0.75,6
0.76,6
0.77,6
0.78,6
0.79,6
0.8,6
0.81,6
0.82,6
0.83,6
0.84,6
0.85,6
0.86,6
0.87,6
0.88,6
0.89,6
0.9,6
0.91,6
0.92,6
0.93,6
0.94,6
0.95,6
0.96,6
0.97,6
0.98,6
0.99,6
1.0,6
