omega,cooperativity,kon,v_s,D
0.0,3,0.018,0.3,0.01
0.0,3,0.018,0.3,0.013
0.0,3,0.018,0.3,0.016
0.0,3,0.018,0.3,0.019
0.0,3,0.018,0.3,0.022
0.0,3,0.018,0.3,0.025
0.0,3,0.018,0.3,0.028
0.0,3,0.018,0.3,0.031
0.0,3,0.018,0.3,0.034
0.0,3,0.018,0.3,0.037
0.0,3,0.018,0.3,0.04
0.0,3,0.018,0.3,0.043
0.0,3,0.018,0.3,0.046
0.0,3,0.018,0.3,0.049
0.05,3,0.018,0.3,0.01
0.05,3,0.018,0.3,0.013
0.05,3,0.018,0.3,0.016
0.05,3,0.018,0.3,0.019
0.05,3,0.018,0.3,0.022
0.05,3,0.018,0.3,0.025
0.05,3,0.018,0.3,0.028
0.05,3,0.018,0.3,0.031
0.05,3,0.018,0.3,0.034
0.05,3,0.018,0.3,0.037
0.05,3,0.018,0.3,0.04
0.05,3,0.018,0.3,0.043
0.05,3,0.018,0.3,0.046
0.05,3,0.018,0.3,0.049
0.1,3,0.018,0.3,0.01
0.1,3,0.018,0.3,0.013
0.1,3,0.018,0.3,0.016
0.1,3,0.018,0.3,0.019
0.1,3,0.018,0.3,0.022
0.1,3,0.018,0.3,0.025
0.1,3,0.018,0.3,0.028
0.1,3,0.018,0.3,0.031
0.1,3,0.018,0.3,0.034
0.1,3,0.018,0.3,0.037
0.1,3,0.018,0.3,0.04
0.1,3,0.018,0.3,0.043
0.1,3,0.018,0.3,0.046
0.1,3,0.018,0.3,0.049
0.15,3,0.018,0.3,0.01
0.15,3,0.018,0.3,0.013
0.15,3,0.018,0.3,0.016
0.15,3,0.018,0.3,0.019
0.15,3,0.018,0.3,0.022
0.15,3,0.018,0.3,0.025
0.15,3,0.018,0.3,0.028
0.15,3,0.018,0.3,0.031
0.15,3,0.018,0.3,0.034
0.15,3,0.018,0.3,0.037
0.15,3,0.018,0.3,0.04
0.15,3,0.018,0.3,0.043
0.15,3,0.018,0.3,0.046
0.15,3,0.018,0.3,0.049
0.2,3,0.018,0.3,0.01
0.2,3,0.018,0.3,0.013
0.2,3,0.018,0.3,0.016
0.2,3,0.018,0.3,0.019
0.2,3,0.018,0.3,0.022
0.2,3,0.018,0.3,0.025
0.2,3,0.018,0.3,0.028
0.2,3,0.018,0.3,0.031
0.2,3,0.018,0.3,0.034
0.2,3,0.018,0.3,0.037
0.2,3,0.018,0.3,0.04
0.2,3,0.018,0.3,0.043
0.2,3,0.018,0.3,0.046
0.2,3,0.018,0.3,0.049
0.25,3,0.018,0.3,0.01
0.25,3,0.018,0.3,0.013
0.25,3,0.018,0.3,0.016
0.25,3,0.018,0.3,0.019
0.25,3,0.018,0.3,0.022
0.25,3,0.018,0.3,0.025
0.25,3,0.018,0.3,0.028
0.25,3,0.018,0.3,0.031
0.25,3,0.018,0.3,0.034
0.25,3,0.018,0.3,0.037
0.25,3,0.018,0.3,0.04
0.25,3,0.018,0.3,0.043
0.25,3,0.018,0.3,0.046
0.25,3,0.018,0.3,0.049
0.3,3,0.018,0.3,0.01
0.3,3,0.018,0.3,0.013
0.3,3,0.018,0.3,0.016
0.3,3,0.018,0.3,0.019
0.3,3,0.018,0.3,0.022
0.3,3,0.018,0.3,0.025
0.3,3,0.018,0.3,0.028
0.3,3,0.018,0.3,0.031
0.3,3,0.018,0.3,0.034
0.3,3,0.018,0.3,0.037
0.3,3,0.018,0.3,0.04
0.3,3,0.018,0.3,0.043
0.3,3,0.018,0.3,0.046
0.3,3,0.018,0.3,0.049
0.35,3,0.018,0.3,0.01
0.35,3,0.018,0.3,0.013
0.35,3,0.018,0.3,0.016
0.35,3,0.018,0.3,0.019
0.35,3,0.018,0.3,0.022
0.35,3,0.018,0.3,0.025
0.35,3,0.018,0.3,0.028
0.35,3,0.018,0.3,0.031
0.35,3,0.018,0.3,0.034
0.35,3,0.018,0.3,0.037
0.35,3,0.018,0.3,0.04
0.35,3,0.018,0.3,0.043
0.35,3,0.018,0.3,0.046
0.35,3,0.018,0.3,0.049
0.4,3,0.018,0.3,0.01
0.4,3,0.018,0.3,0.013
0.4,3,0.018,0.3,0.016
0.4,3,0.018,0.3,0.019
0.4,3,0.018,0.3,0.022
0.4,3,0.018,0.3,0.025
0.4,3,0.018,0.3,0.028
0.4,3,0.018,0.3,0.031
0.4,3,0.018,0.3,0.034
0.4,3,0.018,0.3,0.037
0.4,3,0.018,0.3,0.04
0.4,3,0.018,0.3,0.043
0.4,3,0.018,0.3,0.046
0.4,3,0.018,0.3,0.049
0.45,3,0.018,0.3,0.01
0.45,3,0.018,0.3,0.013
0.45,3,0.018,0.3,0.016
0.45,3,0.018,0.3,0.019
0.45,3,0.018,0.3,0.022
0.45,3,0.018,0.3,0.025
0.45,3,0.018,0.3,0.028
0.45,3,0.018,0.3,0.031
0.45,3,0.018,0.3,0.034
0.45,3,0.018,0.3,0.037
0.45,3,0.018,0.3,0.04
0.45,3,0.018,0.3,0.043
0.45,3,0.018,0.3,0.046
0.45,3,0.018,0.3,0.049
0.5,3,0.018,0.3,0.01
0.5,3,0.018,0.3,0.013
0.5,3,0.018,0.3,0.016
0.5,3,0.018,0.3,0.019
0.5,3,0.018,0.3,0.022
0.5,3,0.018,0.3,0.025
0.5,3,0.018,0.3,0.028
0.5,3,0.018,0.3,0.031
0.5,3,0.018,0.3,0.034
0.5,3,0.018,0.3,0.037
0.5,3,0.018,0.3,0.04
0.5,3,0.018,0.3,0.043
0.5,3,0.018,0.3,0.046
0.5,3,0.018,0.3,0.049
0.55,3,0.018,0.3,0.01
0.55,3,0.018,0.3,0.013
0.55,3,0.018,0.3,0.016
0.55,3,0.018,0.3,0.019
0.55,3,0.018,0.3,0.022
0.55,3,0.018,0.3,0.025
0.55,3,0.018,0.3,0.028
0.55,3,0.018,0.3,0.031
0.55,3,0.018,0.3,0.034
0.55,3,0.018,0.3,0.037
0.55,3,0.018,0.3,0.04
0.55,3,0.018,0.3,0.043
0.55,3,0.018,0.3,0.046
0.55,3,0.018,0.3,0.049
0.6,3,0.018,0.3,0.01
0.6,3,0.018,0.3,0.013
0.6,3,0.018,0.3,0.016
0.6,3,0.018,0.3,0.019
0.6,3,0.018,0.3,0.022
0.6,3,0.018,0.3,0.025
0.6,3,0.018,0.3,0.028
0.6,3,0.018,0.3,0.031
0.6,3,0.018,0.3,0.034
0.6,3,0.018,0.3,0.037
0.6,3,0.018,0.3,0.04
0.6,3,0.018,0.3,0.043
0.6,3,0.018,0.3,0.046
0.6,3,0.018,0.3,0.049
0.65,3,0.018,0.3,0.01
0.65,3,0.018,0.3,0.013
0.65,3,0.018,0.3,0.016
0.65,3,0.018,0.3,0.019
0.65,3,0.018,0.3,0.022
0.65,3,0.018,0.3,0.025
0.65,3,0.018,0.3,0.028
0.65,3,0.018,0.3,0.031
0.65,3,0.018,0.3,0.034
0.65,3,0.018,0.3,0.037
0.65,3,0.018,0.3,0.04
0.65,3,0.018,0.3,0.043
0.65,3,0.018,0.3,0.046
0.65,3,0.018,0.3,0.049
0.7,3,0.018,0.3,0.01
0.7,3,0.018,0.3,0.013
0.7,3,0.018,0.3,0.016
0.7,3,0.018,0.3,0.019
0.7,3,0.018,0.3,0.022
0.7,3,0.018,0.3,0.025
0.7,3,0.018,0.3,0.028
0.7,3,0.018,0.3,0.031
0.7,3,0.018,0.3,0.034
0.7,3,0.018,0.3,0.037
0.7,3,0.018,0.3,0.04
0.7,3,0.018,0.3,0.043
0.7,3,0.018,0.3,0.046
0.7,3,0.018,0.3,0.049
0.75,3,0.018,0.3,0.01
0.75,3,0.018,0.3,0.013
0.75,3,0.018,0.3,0.016
0.75,3,0.018,0.3,0.019
0.75,3,0.018,0.3,0.022
0.75,3,0.018,0.3,0.025
0.75,3,0.018,0.3,0.028
0.75,3,0.018,0.3,0.031
0.75,3,0.018,0.3,0.034
0.75,3,0.018,0.3,0.037
0.75,3,0.018,0.3,0.04
0.75,3,0.018,0.3,0.043
0.75,3,0.018,0.3,0.046
0.75,3,0.018,0.3,0.049
0.8,3,0.018,0.3,0.01
0.8,3,0.018,0.3,0.013
0.8,3,0.018,0.3,0.016
0.8,3,0.018,0.3,0.019
0.8,3,0.018,0.3,0.022
0.8,3,0.018,0.3,0.025
0.8,3,0.018,0.3,0.028
0.8,3,0.018,0.3,0.031
0.8,3,0.018,0.3,0.034
0.8,3,0.018,0.3,0.037
0.8,3,0.018,0.3,0.04
0.8,3,0.018,0.3,0.043
0.8,3,0.018,0.3,0.046
0.8,3,0.018,0.3,0.049
0.85,3,0.018,0.3,0.01
0.85,3,0.018,0.3,0.013
0.85,3,0.018,0.3,0.016
0.85,3,0.018,0.3,0.019
0.85,3,0.018,0.3,0.022
0.85,3,0.018,0.3,0.025
0.85,3,0.018,0.3,0.028
0.85,3,0.018,0.3,0.031
0.85,3,0.018,0.3,0.034
0.85,3,0.018,0.3,0.037
0.85,3,0.018,0.3,0.04
0.85,3,0.018,0.3,0.043
0.85,3,0.018,0.3,0.046
0.85,3,0.018,0.3,0.049
0.9,3,0.018,0.3,0.01
0.9,3,0.018,0.3,0.013
0.9,3,0.018,0.3,0.016
0.9,3,0.018,0.3,0.019
0.9,3,0.018,0.3,0.022
0.9,3,0.018,0.3,0.025
0.9,3,0.018,0.3,0.028
0.9,3,0.018,0.3,0.031
