omega,cooperativity,kon,v_s,D,tip_off
0.5,1,0.018,0.3,0.01,1.0
0.5,1,0.018,0.3,0.01,5.0
0.5,1,0.018,0.3,0.01,10.0
0.5,1,0.018,0.3,0.01,20.0
0.5,1,0.018,0.3,0.015,1.0
0.5,1,0.018,0.3,0.015,5.0
0.5,1,0.018,0.3,0.015,10.0
0.5,1,0.018,0.3,0.015,20.0
0.5,1,0.018,0.3,0.02,1.0
0.5,1,0.018,0.3,0.02,5.0
0.5,1,0.018,0.3,0.02,10.0
0.5,1,0.018,0.3,0.02,20.0
0.5,1,0.018,0.3,0.025,1.0
0.5,1,0.018,0.3,0.025,5.0
0.5,1,0.018,0.3,0.025,10.0
0.5,1,0.018,0.3,0.025,20.0
0.5,1,0.018,0.3,0.03,1.0
0.5,1,0.018,0.3,0.03,5.0
0.5,1,0.018,0.3,0.03,10.0
0.5,1,0.018,0.3,0.03,20.0
0.5,1,0.018,0.3,0.035,1.0
0.5,1,0.018,0.3,0.035,5.0
0.5,1,0.018,0.3,0.035,10.0
0.5,1,0.018,0.3,0.035,20.0
0.5,1,0.018,0.3,0.04,1.0
0.5,1,0.018,0.3,0.04,5.0
0.5,1,0.018,0.3,0.04,10.0
0.5,1,0.018,0.3,0.04,20.0
0.5,1,0.018,0.3,0.045,1.0
0.5,1,0.018,0.3,0.045,5.0
0.5,1,0.018,0.3,0.045,10.0
0.5,1,0.018,0.3,0.045,20.0
0.5,1,0.018,0.3,0.05,1.0
0.5,1,0.018,0.3,0.05,5.0
0.5,1,0.018,0.3,0.05,10.0
0.5,1,0.018,0.3,0.05,20.0
0.55,1,0.018,0.3,0.01,1.0
0.55,1,0.018,0.3,0.01,5.0
0.55,1,0.018,0.3,0.01,10.0
0.55,1,0.018,0.3,0.01,20.0
0.55,1,0.018,0.3,0.015,1.0
0.55,1,0.018,0.3,0.015,5.0
0.55,1,0.018,0.3,0.015,10.0
0.55,1,0.018,0.3,0.015,20.0
0.55,1,0.018,0.3,0.02,1.0
0.55,1,0.018,0.3,0.02,5.0
0.55,1,0.018,0.3,0.02,10.0
0.55,1,0.018,0.3,0.02,20.0
0.55,1,0.018,0.3,0.025,1.0
0.55,1,0.018,0.3,0.025,5.0
0.55,1,0.018,0.3,0.025,10.0
0.55,1,0.018,0.3,0.025,20.0
0.55,1,0.018,0.3,0.03,1.0
0.55,1,0.018,0.3,0.03,5.0
0.55,1,0.018,0.3,0.03,10.0
0.55,1,0.018,0.3,0.03,20.0
0.55,1,0.018,0.3,0.035,1.0
0.55,1,0.018,0.3,0.035,5.0
0.55,1,0.018,0.3,0.035,10.0
0.55,1,0.018,0.3,0.035,20.0
0.55,1,0.018,0.3,0.04,1.0
0.55,1,0.018,0.3,0.04,5.0
0.55,1,0.018,0.3,0.04,10.0
0.55,1,0.018,0.3,0.04,20.0
0.55,1,0.018,0.3,0.045,1.0
0.55,1,0.018,0.3,0.045,5.0
0.55,1,0.018,0.3,0.045,10.0
0.55,1,0.018,0.3,0.045,20.0
0.55,1,0.018,0.3,0.05,1.0
0.55,1,0.018,0.3,0.05,5.0
0.55,1,0.018,0.3,0.05,10.0
0.55,1,0.018,0.3,0.05,20.0
0.6,1,0.018,0.3,0.01,1.0
0.6,1,0.018,0.3,0.01,5.0
0.6,1,0.018,0.3,0.01,10.0
0.6,1,0.018,0.3,0.01,20.0
0.6,1,0.018,0.3,0.015,1.0
0.6,1,0.018,0.3,0.015,5.0
0.6,1,0.018,0.3,0.015,10.0
0.6,1,0.018,0.3,0.015,20.0
0.6,1,0.018,0.3,0.02,1.0
0.6,1,0.018,0.3,0.02,5.0
0.6,1,0.018,0.3,0.02,10.0
0.6,1,0.018,0.3,0.02,20.0
0.6,1,0.018,0.3,0.025,1.0
0.6,1,0.018,0.3,0.025,5.0
0.6,1,0.018,0.3,0.025,10.0
0.6,1,0.018,0.3,0.025,20.0
0.6,1,0.018,0.3,0.03,1.0
0.6,1,0.018,0.3,0.03,5.0
0.6,1,0.018,0.3,0.03,10.0
0.6,1,0.018,0.3,0.03,20.0
0.6,1,0.018,0.3,0.035,1.0
0.6,1,0.018,0.3,0.035,5.0
0.6,1,0.018,0.3,0.035,10.0
0.6,1,0.018,0.3,0.035,20.0
0.6,1,0.018,0.3,0.04,1.0
0.6,1,0.018,0.3,0.04,5.0
0.6,1,0.018,0.3,0.04,10.0
0.6,1,0.018,0.3,0.04,20.0
0.6,1,0.018,0.3,0.045,1.0
0.6,1,0.018,0.3,0.045,5.0
0.6,1,0.018,0.3,0.045,10.0
0.6,1,0.018,0.3,0.045,20.0
0.6,1,0.018,0.3,0.05,1.0
0.6,1,0.018,0.3,0.05,5.0
0.6,1,0.018,0.3,0.05,10.0
0.6,1,0.018,0.3,0.05,20.0
0.65,1,0.018,0.3,0.01,1.0
0.65,1,0.018,0.3,0.01,5.0
0.65,1,0.018,0.3,0.01,10.0
0.65,1,0.018,0.3,0.01,20.0
0.65,1,0.018,0.3,0.015,1.0
0.65,1,0.018,0.3,0.015,5.0
0.65,1,0.018,0.3,0.015,10.0
0.65,1,0.018,0.3,0.015,20.0
0.65,1,0.018,0.3,0.02,1.0
0.65,1,0.018,0.3,0.02,5.0
0.65,1,0.018,0.3,0.02,10.0
0.65,1,0.018,0.3,0.02,20.0
0.65,1,0.018,0.3,0.025,1.0
0.65,1,0.018,0.3,0.025,5.0
0.65,1,0.018,0.3,0.025,10.0
0.65,1,0.018,0.3,0.025,20.0
0.65,1,0.018,0.3,0.03,1.0
0.65,1,0.018,0.3,0.03,5.0
0.65,1,0.018,0.3,0.03,10.0
0.65,1,0.018,0.3,0.03,20.0
0.65,1,0.018,0.3,0.035,1.0
0.65,1,0.018,0.3,0.035,5.0
0.65,1,0.018,0.3,0.035,10.0
0.65,1,0.018,0.3,0.035,20.0
0.65,1,0.018,0.3,0.04,1.0
0.65,1,0.018,0.3,0.04,5.0
0.65,1,0.018,0.3,0.04,10.0
0.65,1,0.018,0.3,0.04,20.0
0.65,1,0.018,0.3,0.045,1.0
0.65,1,0.018,0.3,0.045,5.0
0.65,1,0.018,0.3,0.045,10.0
0.65,1,0.018,0.3,0.045,20.0
0.65,1,0.018,0.3,0.05,1.0
0.65,1,0.018,0.3,0.05,5.0
0.65,1,0.018,0.3,0.05,10.0
0.65,1,0.018,0.3,0.05,20.0
0.7,1,0.018,0.3,0.01,1.0
0.7,1,0.018,0.3,0.01,5.0
