omega,cooperativity,kon,v_s,D,tip_off
0.0,3,0.0058,0.3,0.01,0.0
0.0,3,0.0058,0.3,0.013,0.0
0.0,3,0.0058,0.3,0.016,0.0
0.0,3,0.0058,0.3,0.019,0.0
0.0,3,0.0058,0.3,0.022,0.0
0.0,3,0.0058,0.3,0.025,0.0
0.0,3,0.0058,0.3,0.028,0.0
0.0,3,0.0058,0.3,0.031,0.0
0.0,3,0.0058,0.3,0.034,0.0
0.0,3,0.0058,0.3,0.037,0.0
0.0,3,0.0058,0.3,0.04,0.0
0.0,3,0.0058,0.3,0.043,0.0
0.0,3,0.0058,0.3,0.046,0.0
0.0,3,0.0058,0.3,0.049,0.0
0.05,3,0.0058,0.3,0.01,0.0
0.05,3,0.0058,0.3,0.013,0.0
0.05,3,0.0058,0.3,0.016,0.0
0.05,3,0.0058,0.3,0.019,0.0
0.05,3,0.0058,0.3,0.022,0.0
0.05,3,0.0058,0.3,0.025,0.0
0.05,3,0.0058,0.3,0.028,0.0
0.05,3,0.0058,0.3,0.031,0.0
0.05,3,0.0058,0.3,0.034,0.0
0.05,3,0.0058,0.3,0.037,0.0
0.05,3,0.0058,0.3,0.04,0.0
0.05,3,0.0058,0.3,0.043,0.0
0.05,3,0.0058,0.3,0.046,0.0
0.05,3,0.0058,0.3,0.049,0.0
0.1,3,0.0058,0.3,0.01,0.0
0.1,3,0.0058,0.3,0.013,0.0
0.1,3,0.0058,0.3,0.016,0.0
0.1,3,0.0058,0.3,0.019,0.0
0.1,3,0.0058,0.3,0.022,0.0
0.1,3,0.0058,0.3,0.025,0.0
0.1,3,0.0058,0.3,0.028,0.0
0.1,3,0.0058,0.3,0.031,0.0
0.1,3,0.0058,0.3,0.034,0.0
0.1,3,0.0058,0.3,0.037,0.0
0.1,3,0.0058,0.3,0.04,0.0
0.1,3,0.0058,0.3,0.043,0.0
0.1,3,0.0058,0.3,0.046,0.0
0.1,3,0.0058,0.3,0.049,0.0
0.15,3,0.0058,0.3,0.01,0.0
0.15,3,0.0058,0.3,0.013,0.0
0.15,3,0.0058,0.3,0.016,0.0
0.15,3,0.0058,0.3,0.019,0.0
0.15,3,0.0058,0.3,0.022,0.0
0.15,3,0.0058,0.3,0.025,0.0
0.15,3,0.0058,0.3,0.028,0.0
0.15,3,0.0058,0.3,0.031,0.0
0.15,3,0.0058,0.3,0.034,0.0
0.15,3,0.0058,0.3,0.037,0.0
0.15,3,0.0058,0.3,0.04,0.0
0.15,3,0.0058,0.3,0.043,0.0
0.15,3,0.0058,0.3,0.046,0.0
0.15,3,0.0058,0.3,0.049,0.0
0.2,3,0.0058,0.3,0.01,0.0
0.2,3,0.0058,0.3,0.013,0.0
0.2,3,0.0058,0.3,0.016,0.0
0.2,3,0.0058,0.3,0.019,0.0
0.2,3,0.0058,0.3,0.022,0.0
0.2,3,0.0058,0.3,0.025,0.0
0.2,3,0.0058,0.3,0.028,0.0
0.2,3,0.0058,0.3,0.031,0.0
0.2,3,0.0058,0.3,0.034,0.0
0.2,3,0.0058,0.3,0.037,0.0
0.2,3,0.0058,0.3,0.04,0.0
0.2,3,0.0058,0.3,0.043,0.0
0.2,3,0.0058,0.3,0.046,0.0
0.2,3,0.0058,0.3,0.049,0.0
0.25,3,0.0058,0.3,0.01,0.0
0.25,3,0.0058,0.3,0.013,0.0
0.25,3,0.0058,0.3,0.016,0.0
0.25,3,0.0058,0.3,0.019,0.0
0.25,3,0.0058,0.3,0.022,0.0
0.25,3,0.0058,0.3,0.025,0.0
0.25,3,0.0058,0.3,0.028,0.0
0.25,3,0.0058,0.3,0.031,0.0
0.25,3,0.0058,0.3,0.034,0.0
0.25,3,0.0058,0.3,0.037,0.0
0.25,3,0.0058,0.3,0.04,0.0
0.25,3,0.0058,0.3,0.043,0.0
0.25,3,0.0058,0.3,0.046,0.0
0.25,3,0.0058,0.3,0.049,0.0
0.3,3,0.0058,0.3,0.01,0.0
0.3,3,0.0058,0.3,0.013,0.0
0.3,3,0.0058,0.3,0.016,0.0
0.3,3,0.0058,0.3,0.019,0.0
0.3,3,0.0058,0.3,0.022,0.0
0.3,3,0.0058,0.3,0.025,0.0
0.3,3,0.0058,0.3,0.028,0.0
0.3,3,0.0058,0.3,0.031,0.0
0.3,3,0.0058,0.3,0.034,0.0
0.3,3,0.0058,0.3,0.037,0.0
0.3,3,0.0058,0.3,0.04,0.0
0.3,3,0.0058,0.3,0.043,0.0
0.3,3,0.0058,0.3,0.046,0.0
0.3,3,0.0058,0.3,0.049,0.0
0.35,3,0.0058,0.3,0.01,0.0
0.35,3,0.0058,0.3,0.013,0.0
0.35,3,0.0058,0.3,0.016,0.0
0.35,3,0.0058,0.3,0.019,0.0
0.35,3,0.0058,0.3,0.022,0.0
0.35,3,0.0058,0.3,0.025,0.0
0.35,3,0.0058,0.3,0.028,0.0
0.35,3,0.0058,0.3,0.031,0.0
0.35,3,0.0058,0.3,0.034,0.0
0.35,3,0.0058,0.3,0.037,0.0
0.35,3,0.0058,0.3,0.04,0.0
0.35,3,0.0058,0.3,0.043,0.0
0.35,3,0.0058,0.3,0.046,0.0
0.35,3,0.0058,0.3,0.049,0.0
0.4,3,0.0058,0.3,0.01,0.0
0.4,3,0.0058,0.3,0.013,0.0
0.4,3,0.0058,0.3,0.016,0.0
0.4,3,0.0058,0.3,0.019,0.0
0.4,3,0.0058,0.3,0.022,0.0
0.4,3,0.0058,0.3,0.025,0.0
0.4,3,0.0058,0.3,0.028,0.0
0.4,3,0.0058,0.3,0.031,0.0
0.4,3,0.0058,0.3,0.034,0.0
0.4,3,0.0058,0.3,0.037,0.0
0.4,3,0.0058,0.3,0.04,0.0
0.4,3,0.0058,0.3,0.043,0.0
0.4,3,0.0058,0.3,0.046,0.0
0.4,3,0.0058,0.3,0.049,0.0
0.45,3,0.0058,0.3,0.01,0.0
0.45,3,0.0058,0.3,0.013,0.0
0.45,3,0.0058,0.3,0.016,0.0
0.45,3,0.0058,0.3,0.019,0.0
0.45,3,0.0058,0.3,0.022,0.0
0.45,3,0.0058,0.3,0.025,0.0
0.45,3,0.0058,0.3,0.028,0.0
0.45,3,0.0058,0.3,0.031,0.0
0.45,3,0.0058,0.3,0.034,0.0
0.45,3,0.0058,0.3,0.037,0.0
0.45,3,0.0058,0.3,0.04,0.0
0.45,3,0.0058,0.3,0.043,0.0
0.45,3,0.0058,0.3,0.046,0.0
0.45,3,0.0058,0.3,0.049,0.0
0.5,3,0.0058,0.3,0.01,0.0
0.5,3,0.0058,0.3,0.013,0.0
0.5,3,0.0058,0.3,0.016,0.0
0.5,3,0.0058,0.3,0.019,0.0
0.5,3,0.0058,0.3,0.022,0.0
0.5,3,0.0058,0.3,0.025,0.0
0.5,3,0.0058,0.3,0.028,0.0
0.5,3,0.0058,0.3,0.031,0.0
0.5,3,0.0058,0.3,0.034,0.0
0.5,3,0.0058,0.3,0.037,0.0
0.5,3,0.0058,0.3,0.04,0.0
0.5,3,0.0058,0.3,0.043,0.0
0.5,3,0.0058,0.3,0.046,0.0
0.5,3,0.0058,0.3,0.049,0.0
0.55,3,0.0058,0.3,0.01,0.0
0.55,3,0.0058,0.3,0.013,0.0
0.55,3,0.0058,0.3,0.016,0.0
0.55,3,0.0058,0.3,0.019,0.0
0.55,3,0.0058,0.3,0.022,0.0
0.55,3,0.0058,0.3,0.025,0.0
0.55,3,0.0058,0.3,0.028,0.0
0.55,3,0.0058,0.3,0.031,0.0
0.55,3,0.0058,0.3,0.034,0.0
0.55,3,0.0058,0.3,0.037,0.0
0.55,3,0.0058,0.3,0.04,0.0
0.55,3,0.0058,0.3,0.043,0.0
0.55,3,0.0058,0.3,0.046,0.0
0.55,3,0.0058,0.3,0.049,0.0
0.6,3,0.0058,0.3,0.01,0.0
0.6,3,0.0058,0.3,0.013,0.0
0.6,3,0.0058,0.3,0.016,0.0
0.6,3,0.0058,0.3,0.019,0.0
0.6,3,0.0058,0.3,0.022,0.0
