omega,cooperativity,kon,v_s,D,tip_off
0.0,1,4e-05,0.3,0.09,0.0
0.05,1,4e-05,0.3,0.09,0.0
0.1,1,4e-05,0.3,0.09,0.0
0.15,1,4e-05,0.3,0.09,0.0
0.2,1,4e-05,0.3,0.09,0.0
0.25,1,4e-05,0.3,0.09,0.0
0.3,1,4e-05,0.3,0.09,0.0
0.35,1,4e-05,0.3,0.09,0.0
0.4,1,4e-05,0.3,0.09,0.0
0.45,1,4e-05,0.3,0.09,0.0
0.5,1,4e-05,0.3,0.09,0.0
0.55,1,4e-05,0.3,0.09,0.0
0.6,1,4e-05,0.3,0.09,0.0
0.65,1,4e-05,0.3,0.09,0.0
0.7,1,4e-05,0.3,0.09,0.0
0.75,1,4e-05,0.3,0.09,0.0
0.8,1,4e-05,0.3,0.09,0.0
0.85,1,4e-05,0.3,0.09,0.0
0.9,1,4e-05,0.3,0.09,0.0
0.95,1,4e-05,0.3,0.09,0.0
1.0,1,4e-05,0.3,0.09,0.0
0.0,2,4e-05,0.3,0.09,0.0
0.05,2,4e-05,0.3,0.09,0.0
0.1,2,4e-05,0.3,0.09,0.0
0.15,2,4e-05,0.3,0.09,0.0
0.2,2,4e-05,0.3,0.09,0.0
0.25,2,4e-05,0.3,0.09,0.0
0.3,2,4e-05,0.3,0.09,0.0
0.35,2,4e-05,0.3,0.09,0.0
0.4,2,4e-05,0.3,0.09,0.0
0.45,2,4e-05,0.3,0.09,0.0
0.5,2,4e-05,0.3,0.09,0.0
0.55,2,4e-05,0.3,0.09,0.0
0.6,2,4e-05,0.3,0.09,0.0
0.65,2,4e-05,0.3,0.09,0.0
0.7,2,4e-05,0.3,0.09,0.0
0.75,2,4e-05,0.3,0.09,0.0
0.8,2,4e-05,0.3,0.09,0.0
0.85,2,4e-05,0.3,0.09,0.0
0.9,2,4e-05,0.3,0.09,0.0
0.95,2,4e-05,0.3,0.09,0.0
1.0,2,4e-05,0.3,0.09,0.0
0.0,3,4e-05,0.3,0.09,0.0
0.05,3,4e-05,0.3,0.09,0.0
0.1,3,4e-05,0.3,0.09,0.0
0.15,3,4e-05,0.3,0.09,0.0
0.2,3,4e-05,0.3,0.09,0.0
0.25,3,4e-05,0.3,0.09,0.0
0.3,3,4e-05,0.3,0.09,0.0
0.35,3,4e-05,0.3,0.09,0.0
0.4,3,4e-05,0.3,0.09,0.0
0.45,3,4e-05,0.3,0.09,0.0
0.5,3,4e-05,0.3,0.09,0.0
0.55,3,4e-05,0.3,0.09,0.0
0.6,3,4e-05,0.3,0.09,0.0
0.65,3,4e-05,0.3,0.09,0.0
0.7,3,4e-05,0.3,0.09,0.0
0.75,3,4e-05,0.3,0.09,0.0
0.8,3,4e-05,0.3,0.09,0.0
0.85,3,4e-05,0.3,0.09,0.0
0.9,3,4e-05,0.3,0.09,0.0
0.95,3,4e-05,0.3,0.09,0.0
1.0,3,4e-05,0.3,0.09,0.0
0.0,4,4e-05,0.3,0.09,0.0
0.05,4,4e-05,0.3,0.09,0.0
0.1,4,4e-05,0.3,0.09,0.0
0.15,4,4e-05,0.3,0.09,0.0
0.2,4,4e-05,0.3,0.09,0.0
0.25,4,4e-05,0.3,0.09,0.0
0.3,4,4e-05,0.3,0.09,0.0
0.35,4,4e-05,0.3,0.09,0.0
0.4,4,4e-05,0.3,0.09,0.0
0.45,4,4e-05,0.3,0.09,0.0
0.5,4,4e-05,0.3,0.09,0.0
0.55,4,4e-05,0.3,0.09,0.0
0.6,4,4e-05,0.3,0.09,0.0
0.65,4,4e-05,0.3,0.09,0.0
0.7,4,4e-05,0.3,0.09,0.0
0.75,4,4e-05,0.3,0.09,0.0
0.8,4,4e-05,0.3,0.09,0.0
0.85,4,4e-05,0.3,0.09,0.0
0.9,4,4e-05,0.3,0.09,0.0
0.95,4,4e-05,0.3,0.09,0.0
1.0,4,4e-05,0.3,0.09,0.0
