omega,cooperativity,kon,v_s,D,tip_off
0.5,1,0.0035,0.3,0.01,0.0
0.5,1,0.0035,0.3,0.015,0.0
0.5,1,0.0035,0.3,0.02,0.0
0.5,1,0.0035,0.3,0.025,0.0
0.5,1,0.0035,0.3,0.03,0.0
0.5,1,0.0035,0.3,0.035,0.0
0.5,1,0.0035,0.3,0.04,0.0
0.5,1,0.0035,0.3,0.045,0.0
0.5,1,0.0035,0.3,0.05,0.0
0.55,1,0.0035,0.3,0.01,0.0
0.55,1,0.0035,0.3,0.015,0.0
0.55,1,0.0035,0.3,0.02,0.0
0.55,1,0.0035,0.3,0.025,0.0
0.55,1,0.0035,0.3,0.03,0.0
0.55,1,0.0035,0.3,0.035,0.0
0.55,1,0.0035,0.3,0.04,0.0
0.55,1,0.0035,0.3,0.045,0.0
0.55,1,0.0035,0.3,0.05,0.0
0.6,1,0.0035,0.3,0.01,0.0
0.6,1,0.0035,0.3,0.015,0.0
0.6,1,0.0035,0.3,0.02,0.0
0.6,1,0.0035,0.3,0.025,0.0
0.6,1,0.0035,0.3,0.03,0.0
0.6,1,0.0035,0.3,0.035,0.0
0.6,1,0.0035,0.3,0.04,0.0
0.6,1,0.0035,0.3,0.045,0.0
0.6,1,0.0035,0.3,0.05,0.0
0.65,1,0.0035,0.3,0.01,0.0
0.65,1,0.0035,0.3,0.015,0.0
0.65,1,0.0035,0.3,0.02,0.0
0.65,1,0.0035,0.3,0.025,0.0
0.65,1,0.0035,0.3,0.03,0.0
0.65,1,0.0035,0.3,0.035,0.0
0.65,1,0.0035,0.3,0.04,0.0
0.65,1,0.0035,0.3,0.045,0.0
0.65,1,0.0035,0.3,0.05,0.0
0.7,1,0.0035,0.3,0.01,0.0
0.7,1,0.0035,0.3,0.015,0.0
0.7,1,0.0035,0.3,0.02,0.0
0.7,1,0.0035,0.3,0.025,0.0
0.7,1,0.0035,0.3,0.03,0.0
0.7,1,0.0035,0.3,0.035,0.0
0.7,1,0.0035,0.3,0.04,0.0
0.7,1,0.0035,0.3,0.045,0.0
0.7,1,0.0035,0.3,0.05,0.0
0.75,1,0.0035,0.3,0.01,0.0
0.75,1,0.0035,0.3,0.015,0.0
0.75,1,0.0035,0.3,0.02,0.0
0.75,1,0.0035,0.3,0.025,0.0
0.75,1,0.0035,0.3,0.03,0.0
0.75,1,0.0035,0.3,0.035,0.0
0.75,1,0.0035,0.3,0.04,0.0
0.75,1,0.0035,0.3,0.045,0.0
0.75,1,0.0035,0.3,0.05,0.0
0.8,1,0.0035,0.3,0.01,0.0
0.8,1,0.0035,0.3,0.015,0.0
0.8,1,0.0035,0.3,0.02,0.0
0.8,1,0.0035,0.3,0.025,0.0
0.8,1,0.0035,0.3,0.03,0.0
0.8,1,0.0035,0.3,0.035,0.0
0.8,1,0.0035,0.3,0.04,0.0
0.8,1,0.0035,0.3,0.045,0.0
0.8,1,0.0035,0.3,0.05,0.0
0.85,1,0.0035,0.3,0.01,0.0
0.85,1,0.0035,0.3,0.015,0.0
0.85,1,0.0035,0.3,0.02,0.0
0.85,1,0.0035,0.3,0.025,0.0
0.85,1,0.0035,0.3,0.03,0.0
0.85,1,0.0035,0.3,0.035,0.0
0.85,1,0.0035,0.3,0.04,0.0
0.85,1,0.0035,0.3,0.045,0.0
0.85,1,0.0035,0.3,0.05,0.0
0.9,1,0.0035,0.3,0.01,0.0
0.9,1,0.0035,0.3,0.015,0.0
0.9,1,0.0035,0.3,0.02,0.0
0.9,1,0.0035,0.3,0.025,0.0
0.9,1,0.0035,0.3,0.03,0.0
0.9,1,0.0035,0.3,0.035,0.0
0.9,1,0.0035,0.3,0.04,0.0
0.9,1,0.0035,0.3,0.045,0.0
0.9,1,0.0035,0.3,0.05,0.0
0.95,1,0.0035,0.3,0.01,0.0
0.95,1,0.0035,0.3,0.015,0.0
0.95,1,0.0035,0.3,0.02,0.0
