omega,cooperativity,kon,v_s,D,tip_off,cooperativity_mode,run_folder
0.0,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0000
0.05,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0001
0.1,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0002
0.15,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0003
0.2,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0004
0.25,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0005
0.3,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0006
0.35,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0007
0.4,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0008
0.45,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0009
0.5,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0010
0.55,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0011
0.6,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0012
0.65,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0013
0.7,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0014
0.75,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0015
0.8,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0016
0.85,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0017
0.9,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0018
0.95,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0019
1.0,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0020
0.7,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0021
0.71,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0022
0.72,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0023
0.73,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0024
0.74,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0025
0.75,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0026
0.76,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0027
0.77,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0028
0.78,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0029
0.79,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0030
0.8,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0031
0.81,1,0.00012,0.39,0.09,0.0,protofilament,runs_1nM/scan/run0032
