omega,cooperativity,kon,v_s,D,tip_off,cooperativity_mode
0.0,5,0.00012,0.39,0.09,0.0,protofilament
0.05,5,0.00012,0.39,0.09,0.0,protofilament
0.1,5,0.00012,0.39,0.09,0.0,protofilament
0.15,5,0.00012,0.39,0.09,0.0,protofilament
0.2,5,0.00012,0.39,0.09,0.0,protofilament
0.25,5,0.00012,0.39,0.09,0.0,protofilament
0.3,5,0.00012,0.39,0.09,0.0,protofilament
0.35,5,0.00012,0.39,0.09,0.0,protofilament
0.4,5,0.00012,0.39,0.09,0.0,protofilament
0.45,5,0.00012,0.39,0.09,0.0,protofilament
0.5,5,0.00012,0.39,0.09,0.0,protofilament
0.55,5,0.00012,0.39,0.09,0.0,protofilament
0.6,5,0.00012,0.39,0.09,0.0,protofilament
0.65,5,0.00012,0.39,0.09,0.0,protofilament
0.7,5,0.00012,0.39,0.09,0.0,protofilament
0.75,5,0.00012,0.39,0.09,0.0,protofilament
0.8,5,0.00012,0.39,0.09,0.0,protofilament
0.85,5,0.00012,0.39,0.09,0.0,protofilament
0.9,5,0.00012,0.39,0.09,0.0,protofilament
0.95,5,0.00012,0.39,0.09,0.0,protofilament
1.0,5,0.00012,0.39,0.09,0.0,protofilament
0.7,5,0.00012,0.39,0.09,0.0,protofilament
0.71,5,0.00012,0.39,0.09,0.0,protofilament
0.72,5,0.00012,0.39,0.09,0.0,protofilament
0.73,5,0.00012,0.39,0.09,0.0,protofilament
0.74,5,0.00012,0.39,0.09,0.0,protofilament
0.75,5,0.00012,0.39,0.09,0.0,protofilament
0.76,5,0.00012,0.39,0.09,0.0,protofilament
0.77,5,0.00012,0.39,0.09,0.0,protofilament
0.78,5,0.00012,0.39,0.09,0.0,protofilament
0.79,5,0.00012,0.39,0.09,0.0,protofilament
0.8,5,0.00012,0.39,0.09,0.0,protofilament
0.81,5,0.00012,0.39,0.09,0.0,protofilament
0.82,5,0.00012,0.39,0.09,0.0,protofilament
0.83,5,0.00012,0.39,0.09,0.0,protofilament
0.84,5,0.00012,0.39,0.09,0.0,protofilament
0.85,5,0.00012,0.39,0.09,0.0,protofilament
0.86,5,0.00012,0.39,0.09,0.0,protofilament
0.87,5,0.00012,0.39,0.09,0.0,protofilament
0.88,5,0.00012,0.39,0.09,0.0,protofilament
0.89,5,0.00012,0.39,0.09,0.0,protofilament
0.9,5,0.00012,0.39,0.09,0.0,protofilament
0.91,5,0.00012,0.39,0.09,0.0,protofilament
0.92,5,0.00012,0.39,0.09,0.0,protofilament
0.93,5,0.00012,0.39,0.09,0.0,protofilament
0.94,5,0.00012,0.39,0.09,0.0,protofilament
0.95,5,0.00012,0.39,0.09,0.0,protofilament
0.96,5,0.00012,0.39,0.09,0.0,protofilament
0.97,5,0.00012,0.39,0.09,0.0,protofilament
0.98,5,0.00012,0.39,0.09,0.0,protofilament
0.99,5,0.00012,0.39,0.09,0.0,protofilament
1.0,5,0.00012,0.39,0.09,0.0,protofilament
0.0,6,0.00012,0.39,0.09,0.0,protofilament
0.05,6,0.00012,0.39,0.09,0.0,protofilament
0.1,6,0.00012,0.39,0.09,0.0,protofilament
0.15,6,0.00012,0.39,0.09,0.0,protofilament
0.2,6,0.00012,0.39,0.09,0.0,protofilament
0.25,6,0.00012,0.39,0.09,0.0,protofilament
0.3,6,0.00012,0.39,0.09,0.0,protofilament
0.35,6,0.00012,0.39,0.09,0.0,protofilament
0.4,6,0.00012,0.39,0.09,0.0,protofilament
0.45,6,0.00012,0.39,0.09,0.0,protofilament
0.5,6,0.00012,0.39,0.09,0.0,protofilament
0.55,6,0.00012,0.39,0.09,0.0,protofilament
0.6,6,0.00012,0.39,0.09,0.0,protofilament
0.65,6,0.00012,0.39,0.09,0.0,protofilament
0.7,6,0.00012,0.39,0.09,0.0,protofilament
0.75,6,0.00012,0.39,0.09,0.0,protofilament
0.8,6,0.00012,0.39,0.09,0.0,protofilament
0.85,6,0.00012,0.39,0.09,0.0,protofilament
0.9,6,0.00012,0.39,0.09,0.0,protofilament
0.95,6,0.00012,0.39,0.09,0.0,protofilament
1.0,6,0.00012,0.39,0.09,0.0,protofilament
0.7,6,0.00012,0.39,0.09,0.0,protofilament
0.71,6,0.00012,0.39,0.09,0.0,protofilament
0.72,6,0.00012,0.39,0.09,0.0,protofilament
0.73,6,0.00012,0.39,0.09,0.0,protofilament
0.74,6,0.00012,0.39,0.09,0.0,protofilament
0.75,6,0.00012,0.39,0.09,0.0,protofilament
0.76,6,0.00012,0.39,0.09,0.0,protofilament
0.77,6,0.00012,0.39,0.09,0.0,protofilament
0.78,6,0.00012,0.39,0.09,0.0,protofilament
0.79,6,0.00012,0.39,0.09,0.0,protofilament
0.8,6,0.00012,0.39,0.09,0.0,protofilament
0.81,6,0.00012,0.39,0.09,0.0,protofilament
0.82,6,0.00012,0.39,0.09,0.0,protofilament
0.83,6,0.00012,0.39,0.09,0.0,protofilament
0.84,6,0.00012,0.39,0.09,0.0,protofilament
0.85,6,0.00012,0.39,0.09,0.0,protofilament
0.86,6,0.00012,0.39,0.09,0.0,protofilament
0.87,6,0.00012,0.39,0.09,0.0,protofilament
0.88,6,0.00012,0.39,0.09,0.0,protofilament
0.89,6,0.00012,0.39,0.09,0.0,protofilament
0.9,6,0.00012,0.39,0.09,0.0,protofilament
0.91,6,0.00012,0.39,0.09,0.0,protofilament
0.92,6,0.00012,0.39,0.09,0.0,protofilament
0.93,6,0.00012,0.39,0.09,0.0,protofilament
0.94,6,0.00012,0.39,0.09,0.0,protofilament
0.95,6,0.00012,0.39,0.09,0.0,protofilament
0.96,6,0.00012,0.39,0.09,0.0,protofilament
0.97,6,0.00012,0.39,0.09,0.0,protofilament
0.98,6,0.00012,0.39,0.09,0.0,protofilament
0.99,6,0.00012,0.39,0.09,0.0,protofilament
1.0,6,0.00012,0.39,0.09,0.0,protofilament
0.0,7,0.00012,0.39,0.09,0.0,protofilament
0.05,7,0.00012,0.39,0.09,0.0,protofilament
0.1,7,0.00012,0.39,0.09,0.0,protofilament
0.15,7,0.00012,0.39,0.09,0.0,protofilament
0.2,7,0.00012,0.39,0.09,0.0,protofilament
0.25,7,0.00012,0.39,0.09,0.0,protofilament
0.3,7,0.00012,0.39,0.09,0.0,protofilament
0.35,7,0.00012,0.39,0.09,0.0,protofilament
0.4,7,0.00012,0.39,0.09,0.0,protofilament
0.45,7,0.00012,0.39,0.09,0.0,protofilament
0.5,7,0.00012,0.39,0.09,0.0,protofilament
0.55,7,0.00012,0.39,0.09,0.0,protofilament
0.6,7,0.00012,0.39,0.09,0.0,protofilament
0.65,7,0.00012,0.39,0.09,0.0,protofilament
0.7,7,0.00012,0.39,0.09,0.0,protofilament
0.75,7,0.00012,0.39,0.09,0.0,protofilament
