omega,cooperativity,kon,v_s,D,tip_off,cooperativity_mode
0.0,1,0.00224,0.39,0.09,0.0,protofilament
0.05,1,0.00224,0.39,0.09,0.0,protofilament
0.1,1,0.00224,0.39,0.09,0.0,protofilament
0.15,1,0.00224,0.39,0.09,0.0,protofilament
0.2,1,0.00224,0.39,0.09,0.0,protofilament
0.25,1,0.00224,0.39,0.09,0.0,protofilament
0.3,1,0.00224,0.39,0.09,0.0,protofilament
0.35,1,0.00224,0.39,0.09,0.0,protofilament
0.4,1,0.00224,0.39,0.09,0.0,protofilament
0.45,1,0.00224,0.39,0.09,0.0,protofilament
0.5,1,0.00224,0.39,0.09,0.0,protofilament
0.55,1,0.00224,0.39,0.09,0.0,protofilament
0.6,1,0.00224,0.39,0.09,0.0,protofilament
0.65,1,0.00224,0.39,0.09,0.0,protofilament
0.7,1,0.00224,0.39,0.09,0.0,protofilament
0.75,1,0.00224,0.39,0.09,0.0,protofilament
0.8,1,0.00224,0.39,0.09,0.0,protofilament
0.85,1,0.00224,0.39,0.09,0.0,protofilament
0.9,1,0.00224,0.39,0.09,0.0,protofilament
0.95,1,0.00224,0.39,0.09,0.0,protofilament
1.0,1,0.00224,0.39,0.09,0.0,protofilament
0.7,1,0.00224,0.39,0.09,0.0,protofilament
0.71,1,0.00224,0.39,0.09,0.0,protofilament
0.72,1,0.00224,0.39,0.09,0.0,protofilament
0.73,1,0.00224,0.39,0.09,0.0,protofilament
0.74,1,0.00224,0.39,0.09,0.0,protofilament
0.75,1,0.00224,0.39,0.09,0.0,protofilament
0.76,1,0.00224,0.39,0.09,0.0,protofilament
0.77,1,0.00224,0.39,0.09,0.0,protofilament
0.78,1,0.00224,0.39,0.09,0.0,protofilament
0.79,1,0.00224,0.39,0.09,0.0,protofilament
0.8,1,0.00224,0.39,0.09,0.0,protofilament
0.81,1,0.00224,0.39,0.09,0.0,protofilament
0.82,1,0.00224,0.39,0.09,0.0,protofilament
0.83,1,0.00224,0.39,0.09,0.0,protofilament
0.84,1,0.00224,0.39,0.09,0.0,protofilament
0.85,1,0.00224,0.39,0.09,0.0,protofilament
0.86,1,0.00224,0.39,0.09,0.0,protofilament
0.87,1,0.00224,0.39,0.09,0.0,protofilament
0.88,1,0.00224,0.39,0.09,0.0,protofilament
0.89,1,0.00224,0.39,0.09,0.0,protofilament
0.9,1,0.00224,0.39,0.09,0.0,protofilament
0.91,1,0.00224,0.39,0.09,0.0,protofilament
0.92,1,0.00224,0.39,0.09,0.0,protofilament
0.93,1,0.00224,0.39,0.09,0.0,protofilament
0.94,1,0.00224,0.39,0.09,0.0,protofilament
0.95,1,0.00224,0.39,0.09,0.0,protofilament
0.96,1,0.00224,0.39,0.09,0.0,protofilament
0.97,1,0.00224,0.39,0.09,0.0,protofilament
0.98,1,0.00224,0.39,0.09,0.0,protofilament
0.99,1,0.00224,0.39,0.09,0.0,protofilament
1.0,1,0.00224,0.39,0.09,0.0,protofilament
0.0,2,0.00224,0.39,0.09,0.0,protofilament
0.05,2,0.00224,0.39,0.09,0.0,protofilament
0.1,2,0.00224,0.39,0.09,0.0,protofilament
0.15,2,0.00224,0.39,0.09,0.0,protofilament
0.2,2,0.00224,0.39,0.09,0.0,protofilament
0.25,2,0.00224,0.39,0.09,0.0,protofilament
0.3,2,0.00224,0.39,0.09,0.0,protofilament
0.35,2,0.00224,0.39,0.09,0.0,protofilament
