omega,cooperativity,kon,v_s,D,tip_off,cooperativity_mode,run_folder
0.0,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0000
0.05,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0001
0.1,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0002
0.15,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0003
0.2,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0004
0.25,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0005
0.3,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0006
0.35,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0007
0.4,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0008
0.45,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0009
0.5,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0010
0.55,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0011
0.6,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0012
0.65,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0013
0.7,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0014
0.75,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0015
0.8,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0016
0.85,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0017
0.9,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0018
0.95,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0019
1.0,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0020
0.7,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0021
0.71,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0022
0.72,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0023
0.73,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0024
0.74,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0025
0.75,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0026
0.76,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0027
0.77,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0028
0.78,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0029
0.79,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0030
0.8,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0031
0.81,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0032
0.82,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0033
0.83,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0034
0.84,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0035
0.85,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0036
0.86,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0037
0.87,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0038
0.88,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0039
0.89,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0040
0.9,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0041
0.91,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0042
0.92,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0043
0.93,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0044
0.94,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0045
0.95,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0046
0.96,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0047
0.97,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0048
0.98,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0049
0.99,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0050
1.0,5,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0051
0.0,6,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0052
0.05,6,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0053
0.1,6,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0054
0.15,6,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0055
0.2,6,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0056
0.25,6,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0057
0.3,6,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0058
0.35,6,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0059
0.4,6,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0060
0.45,6,0.00224,0.39,0.09,0.0,protofilament,runs_6nM_extra/scan/run0061
