omega,cooperativity,kon,v_s,D,tip_off,cooperativity_mode,run_folder
0.0,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0000
0.05,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0001
0.1,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0002
0.15,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0003
0.2,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0004
0.25,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0005
0.3,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0006
0.35,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0007
0.4,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0008
0.45,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0009
0.5,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0010
0.55,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0011
0.6,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0012
0.65,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0013
0.7,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0014
0.75,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0015
0.8,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0016
0.85,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0017
0.9,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0018
0.95,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0019
1.0,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0020
0.7,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0021
0.71,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0022
0.72,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0023
0.73,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0024
0.74,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0025
0.75,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0026
0.76,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0027
0.77,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0028
0.78,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0029
0.79,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0030
0.8,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0031
0.81,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0032
0.82,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0033
0.83,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0034
0.84,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0035
0.85,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0036
0.86,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0037
0.87,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0038
0.88,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0039
0.89,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0040
0.9,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0041
0.91,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0042
0.92,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0043
0.93,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0044
0.94,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0045
0.95,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0046
0.96,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0047
0.97,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0048
0.98,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0049
0.99,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0050
1.0,1,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0051
0.0,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0052
0.05,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0053
0.1,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0054
0.15,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0055
0.2,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0056
0.25,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0057
0.3,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0058
0.35,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0059
0.4,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0060
0.45,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0061
0.5,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0062
0.55,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0063
0.6,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0064
0.65,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0065
0.7,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0066
0.75,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0067
0.8,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0068
0.85,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0069
0.9,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0070
0.95,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0071
1.0,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0072
0.7,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0073
0.71,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0074
0.72,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0075
0.73,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0076
0.74,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0077
0.75,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0078
0.76,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0079
0.77,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0080
0.78,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0081
0.79,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0082
0.8,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0083
0.81,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0084
0.82,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0085
0.83,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0086
0.84,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0087
0.85,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0088
0.86,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0089
0.87,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0090
0.88,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0091
0.89,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0092
0.9,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0093
0.91,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0094
0.92,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0095
0.93,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0096
0.94,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0097
0.95,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0098
0.96,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0099
0.97,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0100
0.98,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0101
0.99,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0102
1.0,2,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0103
0.0,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0104
0.05,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0105
0.1,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0106
0.15,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0107
0.2,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0108
0.25,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0109
0.3,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0110
0.35,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0111
0.4,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0112
0.45,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0113
0.5,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0114
0.55,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0115
0.6,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0116
0.65,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0117
0.7,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0118
0.75,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0119
0.8,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0120
0.85,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0121
0.9,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0122
0.95,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0123
1.0,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0124
0.7,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0125
0.71,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0126
0.72,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0127
0.73,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0128
0.74,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0129
0.75,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0130
0.76,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0131
0.77,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0132
0.78,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0133
0.79,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0134
0.8,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0135
0.81,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0136
0.82,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0137
0.83,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0138
0.84,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0139
0.85,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0140
0.86,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0141
0.87,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0142
0.88,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0143
0.89,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0144
0.9,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0145
0.91,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0146
0.92,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0147
0.93,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0148
0.94,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0149
0.95,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0150
0.96,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0151
0.97,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0152
0.98,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0153
0.99,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0154
1.0,3,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0155
0.0,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0156
0.05,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0157
0.1,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0158
0.15,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0159
0.2,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0160
0.25,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0161
0.3,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0162
0.35,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0163
0.4,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0164
0.45,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0165
0.5,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0166
0.55,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0167
0.6,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0168
0.65,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0169
0.7,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0170
0.75,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0171
0.8,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0172
0.85,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0173
0.9,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0174
0.95,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0175
1.0,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0176
0.7,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0177
0.71,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0178
0.72,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0179
0.73,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0180
0.74,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0181
0.75,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0182
0.76,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0183
0.77,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0184
0.78,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0185
0.79,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0186
0.8,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0187
0.81,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0188
0.82,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0189
0.83,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0190
0.84,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0191
0.85,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0192
0.86,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0193
0.87,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0194
0.88,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0195
0.89,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0196
0.9,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0197
0.91,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0198
0.92,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0199
0.93,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0200
0.94,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0201
0.95,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0202
0.96,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0203
0.97,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0204
0.98,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0205
0.99,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0206
1.0,4,0.03591,0.39,0.011,0.0,protofilament,runs_overlaps_2pf/scan/run0207
0.0,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0208
0.05,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0209
0.1,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0210
0.15,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0211
0.2,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0212
0.25,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0213
0.3,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0214
0.35,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0215
0.4,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0216
0.45,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0217
0.5,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0218
0.55,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0219
0.6,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0220
0.65,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0221
0.7,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0222
0.75,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0223
