omega,cooperativity,kon,v_s
0.84,1,0.001,0.05
0.84,1,0.001,0.06
0.84,1,0.001,0.07
0.84,1,0.001,0.08
0.84,1,0.001,0.09
0.84,1,0.001,0.1
0.84,1,0.001,0.11
0.84,1,0.001,0.12
0.84,1,0.001,0.13
0.84,1,0.001,0.14
0.84,1,0.001,0.15
0.84,1,0.001,0.16
0.84,1,0.001,0.17
0.84,1,0.001,0.18
0.84,1,0.001,0.19
0.84,1,0.001,0.2
0.84,1,0.001,0.21
0.84,1,0.001,0.22
0.84,1,0.001,0.23
0.84,1,0.001,0.24
0.84,1,0.001,0.25
0.84,1,0.001,0.26
0.84,1,0.001,0.27
0.84,1,0.001,0.28
0.84,1,0.001,0.29
0.84,1,0.001,0.3
0.84,2,0.001,0.05
0.84,2,0.001,0.06
0.84,2,0.001,0.07
0.84,2,0.001,0.08
0.84,2,0.001,0.09
0.84,2,0.001,0.1
0.84,2,0.001,0.11
0.84,2,0.001,0.12
0.84,2,0.001,0.13
0.84,2,0.001,0.14
0.84,2,0.001,0.15
0.84,2,0.001,0.16
0.84,2,0.001,0.17
0.84,2,0.001,0.18
0.84,2,0.001,0.19
0.84,2,0.001,0.2
0.84,2,0.001,0.21
0.84,2,0.001,0.22
0.84,2,0.001,0.23
0.84,2,0.001,0.24
0.84,2,0.001,0.25
0.84,2,0.001,0.26
0.84,2,0.001,0.27
0.84,2,0.001,0.28
0.84,2,0.001,0.29
0.84,2,0.001,0.3
0.84,3,0.001,0.05
0.84,3,0.001,0.06
0.84,3,0.001,0.07
0.84,3,0.001,0.08
0.84,3,0.001,0.09
0.84,3,0.001,0.1
0.84,3,0.001,0.11
0.84,3,0.001,0.12
0.84,3,0.001,0.13
0.84,3,0.001,0.14
0.84,3,0.001,0.15
0.84,3,0.001,0.16
0.84,3,0.001,0.17
0.84,3,0.001,0.18
0.84,3,0.001,0.19
0.84,3,0.001,0.2
0.84,3,0.001,0.21
0.84,3,0.001,0.22
0.84,3,0.001,0.23
0.84,3,0.001,0.24
0.84,3,0.001,0.25
0.84,3,0.001,0.26
0.84,3,0.001,0.27
0.84,3,0.001,0.28
0.84,3,0.001,0.29
0.84,3,0.001,0.3
